time,id,RSSI,tag_id,phase,17:11:41.08,activity,
17:12:27.62,e2001d8712171320c120,-58,1,"171
",00:00:46.54,1,
17:12:27.65,e2001d8712171320c120,-57,1,"171
",00:00:46.57,1,
17:12:27.66,e2001d8712171320c120,-58,1,"171
",00:00:46.58,1,
17:12:27.67,e2001d8712171320c120,-59,1,"174
",00:00:46.59,1,
17:12:27.70,e2001d8712461320db93,-51,3,"174
",00:00:46.62,1,
17:12:27.72,e2001d8712171320c120,-57,1,"174
",00:00:46.64,1,
17:12:27.73,e2001d8712461320db93,-51,3,"171
",00:00:46.65,1,
17:12:27.75,e2001d8712171320c120,-58,1,"174
",00:00:46.67,1,
17:12:27.77,e2001d8712461320db93,-51,3,"171
",00:00:46.69,1,
17:12:27.80,e2001d8712461320db93,-51,3,"171
",00:00:46.72,1,
17:12:27.82,e2001d8712171320c120,-58,1,"168
",00:00:46.74,1,
17:12:27.83,e2001d8712461320db93,-51,3,"174
",00:00:46.75,1,
17:12:27.83,e2001d8712171320c120,-58,1,"168
",00:00:46.75,1,
17:12:27.85,e2001d8712461320db93,-51,3,"174
",00:00:46.77,1,
17:12:27.87,e2001d8712461320db93,-50,3,"168
",00:00:46.79,1,
17:12:27.88,e2001d8712171320c120,-59,1,"168
",00:00:46.80,1,
17:12:27.90,e2001d8712461320db93,-51,3,"168
",00:00:46.82,1,
17:12:27.92,e2001d8712171320c120,-58,1,"174
",00:00:46.84,1,
17:12:27.93,e2001d8712461320db93,-51,3,"174
",00:00:46.85,1,
17:12:27.95,e2001d8712171320c120,-58,1,"171
",00:00:46.87,1,
17:12:27.95,e2001d8712171320c120,-58,1,"171
",00:00:46.87,1,
17:12:27.98,e2001d8712461320db93,-51,3,"171
",00:00:46.90,1,
17:12:28.00,e2001d8712171320c120,-58,1,"171
",00:00:46.92,1,
17:12:28.12,e2001d8712461320db93,-52,3,"171
",00:00:47.04,1,
17:12:28.13,e2001d8712171320c120,-58,1,"171
",00:00:47.05,1,
17:12:28.15,e2001d8712171320c120,-58,1,"171
",00:00:47.07,1,
17:12:28.17,e2001d8712461320db93,-52,3,"174
",00:00:47.09,1,
17:12:28.17,e2001d8712461320db93,-51,3,"171
",00:00:47.09,1,
17:12:28.18,e2001d8712461320db93,-52,3,"171
",00:00:47.10,1,
17:12:28.20,e2001d8712171320c120,-58,1,"174
",00:00:47.12,1,
17:12:28.23,e2001d8712461320db93,-52,3,"177
",00:00:47.15,1,
17:12:28.25,e2001d8712171320c120,-58,1,"171
",00:00:47.17,1,
17:12:28.28,e2001d8712461320db93,-52,3,"174
",00:00:47.20,1,
17:12:28.30,e2001d8712171320c120,-58,1,"171
",00:00:47.22,1,
17:12:28.32,e2001d8712171320c120,-58,1,"174
",00:00:47.24,1,
17:12:28.33,e2001d8712461320db93,-51,3,"174
",00:00:47.25,1,
17:12:28.34,e2001d8712171320c120,-58,1,"174
",00:00:47.26,1,
17:12:32.72,e2001d8712461320db93,-52,3,"174
",00:00:51.64,2,
17:12:32.73,e2001d8712461320db93,-52,3,"174
",00:00:51.65,2,0.115384615
17:12:32.75,e2001d8712171320c120,-58,1,"174
",00:00:51.67,2,
17:12:32.75,e2001d8712171320c120,-58,1,"174
",00:00:51.67,2,
17:12:32.78,e2001d8712461320db93,-52,3,"168
",00:00:51.70,2,
17:12:32.80,e2001d8712171320c120,-58,1,"168
",00:00:51.72,2,
17:12:32.82,e2001d8712461320db93,-52,3,"174
",00:00:51.74,2,
17:12:32.83,e2001d8712461320db93,-52,3,"174
",00:00:51.75,2,
17:12:32.83,e2001d8712171320c120,-58,1,"174
",00:00:51.75,2,
17:12:32.87,e2001d8712461320db93,-52,3,"174
",00:00:51.79,2,
17:12:32.88,e2001d8712171320c120,-58,1,"174
",00:00:51.80,2,
17:12:32.90,e2001d8712171320c120,-58,1,"171
",00:00:51.82,2,
17:12:32.92,e2001d8712461320db93,-52,3,"171
",00:00:51.84,2,
17:12:32.93,e2001d8712171320c120,-58,1,"177
",00:00:51.85,2,
17:12:32.95,e2001d8712461320db93,-52,3,"174
",00:00:51.87,2,
17:12:32.97,e2001d8712461320db93,-52,3,"171
",00:00:51.89,2,
17:12:32.98,e2001d8712171320c120,-58,1,"174
",00:00:51.90,2,
17:12:32.99,e2001d8712171320c120,-59,1,"171
",00:00:51.91,2,
17:12:33.00,e2001d8712461320db93,-53,3,"171
",00:00:51.92,2,
17:12:33.10,e2001d8712461320db93,-53,3,"171
",00:00:52.02,2,
17:12:33.12,e2001d8712171320c120,-58,1,"174
",00:00:52.04,2,
17:12:33.13,e2001d8712461320db93,-53,3,"174
",00:00:52.05,2,
17:12:33.15,e2001d8712461320db93,-53,3,"171
",00:00:52.07,2,
17:12:33.17,e2001d8712171320c120,-57,1,"174
",00:00:52.09,2,
17:12:33.17,e2001d8712171320c120,-58,1,"174
",00:00:52.09,2,
17:12:33.17,e2001d8712171320c120,-58,1,"174
",00:00:52.09,2,
17:12:33.20,e2001d8712461320db93,-53,3,"174
",00:00:52.12,2,
17:12:33.22,e2001d8712171320c120,-57,1,"171
",00:00:52.14,2,
17:12:33.25,e2001d8712461320db93,-53,3,"174
",00:00:52.17,2,
17:12:33.27,e2001d8712171320c120,-58,1,"174
",00:00:52.19,2,
17:12:33.32,e2001d8712461320db93,-55,3,"171
",00:00:52.24,2,
17:12:33.33,e2001d8712171320c120,-57,1,"171
",00:00:52.25,2,
17:12:33.35,e2001d8712461320db93,-55,3,"174
",00:00:52.27,2,
17:12:33.37,e2001d8712171320c120,-57,1,"174
",00:00:52.29,2,
17:12:33.38,e2001d8712461320db93,-55,3,"174
",00:00:52.30,2,
17:12:33.40,e2001d8712461320db93,-55,3,"171
",00:00:52.32,2,
17:12:33.42,e2001d8712171320c120,-57,1,"174
",00:00:52.34,2,
17:12:33.43,e2001d8712171320c120,-58,1,"174
",00:00:52.35,2,
17:12:33.45,e2001d8712461320db93,-55,3,"174
",00:00:52.37,2,
17:12:33.45,e2001d8712461320db93,-55,3,"174
",00:00:52.37,2,
17:12:33.48,e2001d8712461320db93,-55,3,"171
",00:00:52.40,2,
17:12:33.49,e2001d8712171320c120,-57,1,"174
",00:00:52.41,2,
17:12:33.50,e2001d8712171320c120,-57,1,"174
",00:00:52.42,2,
17:12:33.52,e2001d8712461320db93,-53,3,"171
",00:00:52.44,2,
17:12:33.53,e2001d8712171320c120,-57,1,"171
",00:00:52.45,2,
17:12:33.57,e2001d8712171320c120,-57,1,"171
",00:00:52.49,2,
