time,id,tag_id,RSSI,phase,21:17:22.63,activity,,
21:17:54.65,e2001d8712171320c120,1,-55,"171
",00:00:32.02,1,,
21:17:54.67,e2001d8712171320c120,1,-56,"177
",00:00:32.04,1,,
21:17:54.68,e2001d871271320b9f,4,-55,"168
",00:00:32.05,1,,
21:17:54.70,e2001d871271320b9f,4,-53,"174
",00:00:32.07,1,,
21:17:54.71,e2001d8712171320c120,1,-56,"171
",00:00:32.09,1,,
21:17:54.73,e2001d8712171320c120,1,-55,"171
",00:00:32.10,1,,
21:17:54.75,e2001d871271320b9f,4,-53,"174
",00:00:32.12,1,,
21:17:54.78,e2001d8712171320c120,1,-56,"171
",00:00:32.15,1,,
21:17:54.80,e2001d871271320b9f,4,-55,"171
",00:00:32.17,1,,
21:17:54.82,e2001d871271320b9f,4,-55,"174
",00:00:32.19,1,,
21:17:54.83,e2001d8712171320c120,1,-55,"171
",00:00:32.20,1,,
21:17:54.83,e2001d8712171320c120,1,-56,"171
",00:00:32.20,1,,
21:17:54.85,e2001d871271320b9f,4,-55,"174
",00:00:32.22,1,,
21:17:54.86,e2001d8712171320c120,1,-55,"168
",00:00:32.23,1,,
21:17:54.88,e2001d871271320b9f,4,-53,"171
",00:00:32.25,1,,
21:17:54.90,e2001d8712171320c120,1,-56,"168
",00:00:32.27,1,,
21:17:54.91,e2001d8712171320c120,1,-57,"171
",00:00:32.28,1,,
21:17:54.93,e2001d871271320b9f,4,-55,"174
",00:00:32.30,1,,
21:17:54.95,e2001d871271320b9f,4,-55,"171
",00:00:32.32,1,,
21:17:54.97,e2001d8712171320c120,1,-55,"174
",00:00:32.34,1,,
21:17:54.98,e2001d871271320b9f,4,-55,"174
",00:00:32.35,1,,
21:17:54.99,e2001d871271320b9f,4,-55,"174
",00:00:32.36,1,,
21:17:55.00,e2001d8712171320c120,1,-57,"171
",00:00:32.37,1,,
21:17:55.10,e2001d871271320b9f,4,-53,"171
",00:00:32.47,1,,
21:17:55.12,e2001d8712171320c120,1,-55,"171
",00:00:32.49,1,,
21:17:55.13,e2001d871271320b9f,4,-55,"171
",00:00:32.50,1,,
21:17:55.15,e2001d871271320b9f,4,-53,"174
",00:00:32.52,1,,
21:17:55.17,e2001d871271320b9f,4,-55,"171
",00:00:32.54,1,,
21:17:55.18,e2001d8712171320c120,1,-55,"171
",00:00:32.55,1,,
21:17:55.22,e2001d871271320b9f,4,-55,"174
",00:00:32.59,1,,
21:17:55.23,e2001d8712171320c120,1,-55,"168
",00:00:32.60,1,,
21:17:55.25,e2001d871271320b9f,4,-55,"171
",00:00:32.62,1,,
21:17:55.27,e2001d8712171320c120,1,-55,"174
",00:00:32.64,1,,
21:17:55.28,e2001d871271320b9f,4,-55,"174
",00:00:32.65,1,,
21:17:55.30,e2001d8712171320c120,1,-55,"171
",00:00:32.67,1,,
21:17:55.32,e2001d8712171320c120,1,-55,"171
",00:00:32.69,1,,
21:17:55.33,e2001d871271320b9f,4,-55,"174
",00:00:32.70,1,,
21:17:55.33,e2001d871271320b9f,4,-55,"174
",00:00:32.70,1,,
21:17:55.34,e2001d8712171320c120,1,-55,"171
",00:00:32.71,1,,
21:17:55.37,e2001d8712171320c120,1,-55,"168
",00:00:32.74,1,,
21:17:55.38,e2001d871271320b9f,4,-53,"171
",00:00:32.75,1,,
21:17:55.40,e2001d8712171320c120,1,-55,"174
",00:00:32.77,1,,
21:17:55.42,e2001d871271320b9f,4,-55,"171
",00:00:32.79,1,,
21:17:55.44,e2001d8712171320c120,1,-55,"168
",00:00:32.81,1,,
21:17:55.45,e2001d871271320b9f,4,-55,"174
",00:00:32.82,1,,
21:17:55.47,e2001d8712171320c120,1,-55,"171
",00:00:32.84,1,,
21:17:55.48,e2001d871271320b9f,4,-53,"168
",00:00:32.85,1,,
21:17:55.48,e2001d871271320b9f,4,-53,"168
",00:00:32.85,1,,
21:17:55.51,e2001d871271320b9f,4,-55,"174
",00:00:32.88,1,,
21:17:55.53,e2001d871271320b9f,4,-55,"168
",00:00:32.90,1,,
21:17:55.55,e2001d8712171320c120,1,-55,"171
",00:00:32.92,1,,
21:17:55.57,e2001d871271320b9f,4,-55,"171
",00:00:32.94,1,,
21:17:55.58,e2001d8712171320c120,1,-55,"171
",00:00:32.95,1,,
21:17:55.60,e2001d8712171320c120,1,-55,"171
",00:00:32.97,1,,
21:17:55.62,e2001d871271320b9f,4,-55,"171
",00:00:32.99,1,,
21:17:55.63,e2001d871271320b9f,4,-53,"174
",00:00:33.00,1,,
21:17:55.65,e2001d8712171320c120,1,-55,"171
",00:00:33.02,1,,
21:17:55.67,e2001d8712171320c120,1,-55,"171
",00:00:33.04,1,,
21:17:55.68,e2001d8712171320c120,1,-55,"171
",00:00:33.05,1,,
21:17:55.68,e2001d8712171320c120,1,-55,"171
",00:00:33.05,1,,
21:17:55.68,e2001d871271320b9f,4,-55,"171
",00:00:33.05,1,,
21:17:55.72,e2001d871271320b9f,4,-55,"171
",00:00:33.09,1,,
21:17:55.73,e2001d8712171320c120,1,-55,"171
",00:00:33.10,1,,
21:17:55.77,e2001d871271320b9f,4,-53,"174
",00:00:33.14,1,,
21:17:55.80,e2001d871271320b9f,4,-55,"174
",00:00:33.17,1,,
21:17:55.83,e2001d871271320b9f,4,-55,"174
",00:00:33.20,1,,
21:17:55.85,e2001d871271320b9f,4,-55,"174
",00:00:33.22,1,,
21:17:55.87,e2001d8712171320c120,1,-56,"171
",00:00:33.24,1,,
21:17:55.89,e2001d8712171320c120,1,-56,"171
",00:00:33.26,1,,
21:17:55.90,e2001d871271320b9f,4,-53,"171
",00:00:33.27,1,,
21:17:55.92,e2001d871271320b9f,4,-55,"174
",00:00:33.29,1,,
21:17:55.93,e2001d8712171320c120,1,-55,"171
",00:00:33.30,1,,
21:17:55.95,e2001d871271320b9f,4,-55,"174
",00:00:33.32,1,,
21:17:55.97,e2001d8712171320c120,1,-55,"168
",00:00:33.34,1,,
21:17:55.97,e2001d8712171320c120,1,-55,"168
",00:00:33.34,1,,
21:17:56.00,e2001d871271320b9f,4,-53,"171
",00:00:33.37,1,,
21:17:56.10,e2001d871271320b9f,4,-53,"174
",00:00:33.47,1,,
21:17:56.13,e2001d871271320b9f,4,-55,"174
",00:00:33.50,1,,
21:17:56.15,e2001d8712171320c120,1,-55,"174
",00:00:33.52,1,,
21:17:56.15,e2001d8712171320c120,1,-55,"174
",00:00:33.52,1,,
21:17:56.15,e2001d8712171320c120,1,-55,"174
",00:00:33.52,1,,
21:17:56.20,e2001d8712171320c120,1,-55,"174
",00:00:33.57,1,,
21:17:56.22,e2001d871271320b9f,4,-55,"174
",00:00:33.59,1,,
21:17:56.23,e2001d8712171320c120,1,-55,"171
",00:00:33.60,1,,
21:17:56.25,e2001d871271320b9f,4,-55,"174
",00:00:33.62,1,,
21:17:56.27,e2001d8712171320c120,1,-55,"171
",00:00:33.64,1,,
21:17:56.30,e2001d8712171320c120,1,-56,"171
",00:00:33.67,1,,
21:17:56.32,e2001d871271320b9f,4,-55,"171
",00:00:33.69,1,,
21:17:56.33,e2001d871271320b9f,4,-55,"168
",00:00:33.70,1,,
21:17:56.35,e2001d8712171320c120,1,-55,"174
",00:00:33.72,1,,
21:17:56.37,e2001d8712171320c120,1,-55,"171
",00:00:33.74,1,,
21:17:56.38,e2001d871271320b9f,4,-55,"171
",00:00:33.75,1,,
21:17:56.40,e2001d871271320b9f,4,-53,"174
",00:00:33.77,1,,
21:17:56.42,e2001d8712171320c120,1,-55,"165
",00:00:33.79,1,,
21:17:56.43,e2001d871271320b9f,4,-55,"174
",00:00:33.80,1,,
21:17:56.45,e2001d8712171320c120,1,-55,"168
",00:00:33.82,1,,
21:17:56.48,e2001d8712171320c120,1,-56,"174
",00:00:33.85,1,,
21:17:56.50,e2001d871271320b9f,4,-55,"171
",00:00:33.87,1,,
21:17:56.50,e2001d871271320b9f,4,-53,"174
",00:00:33.87,1,,
21:17:56.52,e2001d8712171320c120,1,-56,"174
",00:00:33.89,1,,
21:17:56.53,e2001d871271320b9f,4,-55,"171
",00:00:33.90,1,,
21:17:56.55,e2001d871271320b9f,4,-55,"168
",00:00:33.92,1,,
21:17:56.57,e2001d8712171320c120,1,-55,"0
",00:00:33.94,1,,
21:17:56.58,e2001d871271320b9f,4,-55,"174
",00:00:33.95,1,,
21:17:56.60,e2001d8712171320c120,1,-57,"171
",00:00:33.97,1,,
21:17:56.62,e2001d8712171320c120,1,-55,"171
",00:00:33.99,1,,
21:17:56.63,e2001d871271320b9f,4,-55,"171
",00:00:34.00,1,,
21:17:56.63,e2001d871271320b9f,4,-55,"171
",00:00:34.00,1,,
21:17:56.66,e2001d8712171320c120,1,-56,"171
",00:00:34.03,1,,
21:17:56.67,e2001d8712171320c120,1,-55,"174
",00:00:34.04,1,,
21:17:56.68,e2001d871271320b9f,4,-55,"171
",00:00:34.05,1,,
21:17:56.70,e2001d8712171320c120,1,-55,"174
",00:00:34.07,1,,
21:17:56.72,e2001d871271320b9f,4,-55,"174
",00:00:34.09,1,,
21:17:56.75,e2001d8712171320c120,1,-55,"168
",00:00:34.12,1,,
21:17:56.77,e2001d871271320b9f,4,-53,"174
",00:00:34.14,1,,
21:17:56.82,e2001d8712171320c120,1,-55,"174
",00:00:34.19,1,,
21:17:56.82,e2001d8712171320c120,1,-55,"174
",00:00:34.19,1,,
21:17:56.82,e2001d8712171320c120,1,-55,"171
",00:00:34.19,1,,
21:17:56.85,e2001d8712171320c120,1,-55,"171
",00:00:34.22,1,,
21:17:56.87,e2001d871271320b9f,4,-55,"174
",00:00:34.24,1,,
21:17:56.88,e2001d8712171320c120,1,-56,"171
",00:00:34.25,1,,
21:17:56.90,e2001d871271320b9f,4,-55,"171
",00:00:34.27,1,,
21:17:56.92,e2001d8712171320c120,1,-56,"171
",00:00:34.29,1,,
21:17:56.93,e2001d871271320b9f,4,-55,"171
",00:00:34.30,1,,
21:17:56.95,e2001d8712171320c120,1,-56,"174
",00:00:34.32,1,,
21:17:56.97,e2001d871271320b9f,4,-55,"174
",00:00:34.34,1,,
21:17:56.97,e2001d871271320b9f,4,-55,"174
",00:00:34.34,1,,
21:17:57.00,e2001d871271320b9f,4,-55,"174
",00:00:34.37,1,,
21:17:57.12,e2001d871271320b9f,4,-55,"174
",00:00:34.49,1,,
21:17:57.13,e2001d8712171320c120,1,-55,"174
",00:00:34.50,1,,
21:17:57.17,e2001d8712171320c120,1,-55,"174
",00:00:34.54,1,,
21:17:57.28,e2001d871271320b9f,4,-55,"174
",00:00:34.65,1,,
21:17:57.28,e2001d871271320b9f,4,-55,"174
",00:00:34.65,1,,
21:17:57.32,e2001d8712171320c120,1,-55,"174
",00:00:34.69,1,,
21:17:57.33,e2001d871271320b9f,4,-55,"171
",00:00:34.70,1,,
21:17:57.33,e2001d871271320b9f,4,-55,"174
",00:00:34.70,1,,
21:17:57.35,e2001d8712171320c120,1,-55,"171
",00:00:34.72,1,,
21:17:57.37,e2001d871271320b9f,4,-55,"174
",00:00:34.74,1,,
21:17:57.40,e2001d871271320b9f,4,-55,"174
",00:00:34.77,1,,
21:17:57.42,e2001d8712171320c120,1,-55,"174
",00:00:34.79,1,,
21:17:57.43,e2001d8712171320c120,1,-57,"171
",00:00:34.80,1,,
21:17:57.45,e2001d871271320b9f,4,-53,"174
",00:00:34.82,1,,
21:17:57.45,e2001d871271320b9f,4,-53,"174
",00:00:34.82,1,,
21:17:57.50,e2001d8712171320c120,1,-56,"171
",00:00:34.87,1,,
21:17:57.50,e2001d8712171320c120,1,-55,"168
",00:00:34.87,1,,
21:17:57.52,e2001d871271320b9f,4,-55,"174
",00:00:34.89,1,,
21:17:57.57,e2001d871271320b9f,4,-55,"174
",00:00:34.94,1,,
21:17:57.58,e2001d8712171320c120,1,-55,"171
",00:00:34.95,1,,
21:17:57.60,e2001d871271320b9f,4,-55,"168
",00:00:34.97,1,,
21:17:57.62,e2001d8712171320c120,1,-55,"171
",00:00:34.99,1,,
21:17:57.63,e2001d871271320b9f,4,-55,"174
",00:00:35.00,1,,
21:17:57.65,e2001d871271320b9f,4,-55,"174
",00:00:35.02,1,,
21:17:57.66,e2001d871271320b9f,4,-55,"174
",00:00:35.03,1,,
21:17:57.67,e2001d8712171320c120,1,-55,"171
",00:00:35.04,1,,
21:17:57.67,e2001d8712171320c120,1,-55,"171
",00:00:35.04,1,,
21:17:57.70,e2001d8712171320c120,1,-55,"174
",00:00:35.07,1,,
21:17:57.72,e2001d871271320b9f,4,-55,"174
",00:00:35.09,1,,
21:17:57.75,e2001d8712171320c120,1,-55,"168
",00:00:35.12,1,,
21:17:57.77,e2001d871271320b9f,4,-55,"171
",00:00:35.14,1,,
21:17:57.84,e2001d8712171320c120,1,-55,"168
",00:00:35.21,1,,
21:17:57.84,e2001d8712171320c120,1,-55,"168
",00:00:35.21,1,,
21:17:57.85,e2001d8712171320c120,1,-57,"174
",00:00:35.22,1,,
21:17:57.87,e2001d8712171320c120,1,-57,"171
",00:00:35.24,1,,
21:17:57.88,e2001d871271320b9f,4,-55,"174
",00:00:35.25,1,,
21:17:57.90,e2001d871271320b9f,4,-53,"174
",00:00:35.27,1,,
21:17:57.92,e2001d8712171320c120,1,-56,"174
",00:00:35.29,1,,
21:17:57.92,e2001d8712171320c120,1,-56,"174
",00:00:35.29,1,,
21:17:57.95,e2001d871271320b9f,4,-53,"174
",00:00:35.32,1,,
21:17:57.97,e2001d8712171320c120,1,-55,"171
",00:00:35.34,1,,
21:17:57.98,e2001d8712171320c120,1,-56,"168
",00:00:35.35,1,,
21:17:58.00,e2001d871271320b9f,4,-53,"171
",00:00:35.37,1,,
21:17:58.12,e2001d8712171320c120,1,-55,"174
",00:00:35.49,1,,
21:17:58.14,e2001d871271320b9f,4,-53,"171
",00:00:35.50,1,,
21:17:58.17,e2001d8712171320c120,1,-55,"174
",00:00:35.54,1,,
21:17:58.17,e2001d8712171320c120,1,-55,"174
",00:00:35.54,1,,
21:17:58.18,e2001d8712171320c120,1,-57,"171
",00:00:35.55,1,,
21:17:58.20,e2001d8712171320c120,1,-55,"174
",00:00:35.57,1,,
21:17:58.22,e2001d871271320b9f,4,-55,"171
",00:00:35.59,1,,
21:17:58.23,e2001d8712171320c120,1,-55,"174
",00:00:35.60,1,,
21:17:58.25,e2001d871271320b9f,4,-55,"174
",00:00:35.62,1,,
21:17:58.27,e2001d8712171320c120,1,-56,"171
",00:00:35.64,1,,
21:17:58.28,e2001d871271320b9f,4,-55,"174
",00:00:35.65,1,,
21:17:58.28,e2001d871271320b9f,4,-55,"174
",00:00:35.65,1,,
21:17:58.32,e2001d8712171320c120,1,-55,"174
",00:00:35.69,1,,
21:17:58.33,e2001d871271320b9f,4,-55,"171
",00:00:35.70,1,,
21:17:58.35,e2001d871271320b9f,4,-53,"174
",00:00:35.72,1,,
21:17:58.35,e2001d8712171320c120,1,-55,"171
",00:00:35.72,1,,
21:17:58.37,e2001d871271320b9f,4,-55,"171
",00:00:35.74,1,,
21:17:58.38,e2001d8712171320c120,1,-55,"174
",00:00:35.75,1,,
21:17:58.40,e2001d871271320b9f,4,-55,"174
",00:00:35.77,1,,
21:17:58.42,e2001d871271320b9f,4,-55,"171
",00:00:35.79,1,,
21:17:58.43,e2001d8712171320c120,1,-55,"171
",00:00:35.80,1,,
21:17:58.43,e2001d8712171320c120,1,-55,"171
",00:00:35.80,1,,
