time,id,tag_id,RSSI,phase,17:22.6,activity,,
17:55.1,e2001d8712171320c120,1,-55,"171
",00:32.5,1,,
17:55.2,e2001d8712171320c120,1,-55,"171
",00:32.6,1,,
17:55.2,e2001d8712171320c120,1,-55,"168
",00:32.6,1,,
17:55.3,e2001d8712171320c120,1,-55,"174
",00:32.6,1,,
17:55.3,e2001d8712171320c120,1,-55,"171
",00:32.7,1,,
17:55.3,e2001d8712171320c120,1,-55,"171
",00:32.7,1,,
17:55.3,e2001d8712171320c120,1,-55,"171
",00:32.7,1,,
17:55.4,e2001d8712171320c120,1,-55,"168
",00:32.7,1,,
17:55.4,e2001d8712171320c120,1,-55,"174
",00:32.8,1,,
17:55.4,e2001d8712171320c120,1,-55,"168
",00:32.8,1,,
17:55.5,e2001d8712171320c120,1,-55,"171
",00:32.8,1,,
17:55.6,e2001d8712171320c120,1,-55,"171
",00:32.9,1,,
17:55.6,e2001d8712171320c120,1,-55,"171
",00:33.0,1,,
17:55.6,e2001d8712171320c120,1,-55,"171
",00:33.0,1,,
17:55.7,e2001d8712171320c120,1,-55,"171
",00:33.0,1,,
17:55.7,e2001d8712171320c120,1,-55,"171
",00:33.0,1,,
17:55.7,e2001d8712171320c120,1,-55,"171
",00:33.0,1,,
17:55.7,e2001d8712171320c120,1,-55,"171
",00:33.1,1,,
17:55.9,e2001d8712171320c120,1,-56,"171
",00:33.2,1,,
17:55.9,e2001d8712171320c120,1,-56,"171
",00:33.3,1,,
17:55.9,e2001d8712171320c120,1,-55,"171
",00:33.3,1,,
17:56.0,e2001d8712171320c120,1,-55,"168
",00:33.3,1,,
17:56.2,e2001d8712171320c120,1,-55,"174
",00:33.5,1,,
17:56.2,e2001d8712171320c120,1,-55,"174
",00:33.6,1,,
17:56.2,e2001d8712171320c120,1,-55,"171
",00:33.6,1,,
17:56.3,e2001d8712171320c120,1,-55,"171
",00:33.6,1,,
17:56.3,e2001d8712171320c120,1,-56,"171
",00:33.7,1,,
17:56.4,e2001d8712171320c120,1,-55,"174
",00:33.7,1,,
17:56.4,e2001d8712171320c120,1,-55,"171
",00:33.7,1,,
17:56.4,e2001d8712171320c120,1,-55,"165
",00:33.8,1,,
17:56.5,e2001d8712171320c120,1,-55,"168
",00:33.8,1,,
17:56.5,e2001d8712171320c120,1,-56,"174
",00:33.9,1,,
17:56.5,e2001d8712171320c120,1,-56,"174
",00:33.9,1,,
17:56.6,e2001d8712171320c120,1,-55,"0
",00:33.9,1,,
17:56.6,e2001d8712171320c120,1,-57,"171
",00:34.0,1,,
17:56.6,e2001d8712171320c120,1,-55,"171
",00:34.0,1,,
17:56.7,e2001d8712171320c120,1,-56,"171
",00:34.0,1,,
17:56.7,e2001d8712171320c120,1,-55,"174
",00:34.0,1,,
17:56.7,e2001d8712171320c120,1,-55,"174
",00:34.1,1,,
17:56.8,e2001d8712171320c120,1,-55,"168
",00:34.1,1,,
17:56.8,e2001d8712171320c120,1,-55,"174
",00:34.2,1,,
17:56.9,e2001d8712171320c120,1,-55,"171
",00:34.2,1,,
17:56.9,e2001d8712171320c120,1,-56,"171
",00:34.2,1,,
17:56.9,e2001d8712171320c120,1,-56,"171
",00:34.3,1,,
17:57.0,e2001d8712171320c120,1,-56,"174
",00:34.3,1,,
17:57.1,e2001d8712171320c120,1,-55,"174
",00:34.5,1,,
17:57.2,e2001d8712171320c120,1,-55,"174
",00:34.5,1,,
17:57.3,e2001d8712171320c120,1,-55,"174
",00:34.7,1,,
17:57.4,e2001d8712171320c120,1,-55,"171
",00:34.7,1,,
17:57.4,e2001d8712171320c120,1,-55,"174
",00:34.8,1,,
17:57.4,e2001d8712171320c120,1,-57,"171
",00:34.8,1,,
17:57.5,e2001d8712171320c120,1,-56,"171
",00:34.9,1,,
17:57.6,e2001d8712171320c120,1,-55,"171
",00:35.0,1,,
17:57.6,e2001d8712171320c120,1,-55,"171
",00:35.0,1,,
17:57.7,e2001d8712171320c120,1,-55,"171
",00:35.0,1,,
17:57.7,e2001d8712171320c120,1,-55,"174
",00:35.1,1,,
17:57.8,e2001d8712171320c120,1,-55,"168
",00:35.1,1,,
17:57.8,e2001d8712171320c120,1,-55,"168
",00:35.2,1,,
17:57.9,e2001d8712171320c120,1,-57,"174
",00:35.2,1,,
17:57.9,e2001d8712171320c120,1,-57,"171
",00:35.2,1,,
17:57.9,e2001d8712171320c120,1,-56,"174
",00:35.3,1,,
17:58.0,e2001d8712171320c120,1,-55,"171
",00:35.3,1,,
17:58.0,e2001d8712171320c120,1,-56,"168
",00:35.3,1,,
17:58.1,e2001d8712171320c120,1,-55,"174
",00:35.5,1,,
17:58.2,e2001d8712171320c120,1,-55,"174
",00:35.5,1,,
17:58.2,e2001d8712171320c120,1,-57,"171
",00:35.5,1,,
17:58.2,e2001d8712171320c120,1,-55,"174
",00:35.6,1,,
17:58.2,e2001d8712171320c120,1,-55,"174
",00:35.6,1,,
17:58.3,e2001d8712171320c120,1,-56,"171
",00:35.6,1,,
17:58.3,e2001d8712171320c120,1,-55,"174
",00:35.7,1,,
17:58.4,e2001d8712171320c120,1,-55,"171
",00:35.7,1,,
17:58.4,e2001d8712171320c120,1,-55,"174
",00:35.7,1,,
17:58.4,e2001d8712171320c120,1,-55,"171
",00:35.8,1,,
17:58.5,e2001d8712171320c120,1,-55,"174
",00:35.8,1,,
17:58.5,e2001d8712171320c120,1,-56,"174
",00:35.9,1,,
17:58.5,e2001d8712171320c120,1,-55,"168
",00:35.9,1,,
17:58.6,e2001d8712171320c120,1,-55,"174
",00:35.9,1,,
17:58.6,e2001d8712171320c120,1,-56,"174
",00:36.0,1,,
17:58.7,e2001d8712171320c120,1,-56,"174
",00:36.0,1,,
17:58.7,e2001d8712171320c120,1,-56,"165
",00:36.1,1,,
17:58.7,e2001d8712171320c120,1,-56,"174
",00:36.1,1,,
17:58.8,e2001d8712171320c120,1,-56,"168
",00:36.2,1,,
17:58.8,e2001d8712171320c120,1,-57,"171
",00:36.2,1,,
17:58.9,e2001d8712171320c120,1,-56,"171
",00:36.2,1,,
17:58.9,e2001d8712171320c120,1,-56,"174
",00:36.3,1,,
17:59.0,e2001d8712171320c120,1,-56,"174
",00:36.3,1,,
17:59.0,e2001d8712171320c120,1,-56,"171
",00:36.3,1,,
17:59.0,e2001d8712171320c120,1,-57,"174
",00:36.4,1,,
17:59.1,e2001d8712171320c120,1,-56,"174
",00:36.5,1,,
17:59.3,e2001d8712171320c120,1,-55,"174
",00:36.6,1,,
17:59.3,e2001d8712171320c120,1,-55,"171
",00:36.6,1,,
17:59.3,e2001d8712171320c120,1,-56,"171
",00:36.7,1,,
17:59.4,e2001d8712171320c120,1,-55,"174
",00:36.7,1,,
17:59.4,e2001d8712171320c120,1,-55,"171
",00:36.8,1,,
17:59.5,e2001d8712171320c120,1,-55,"174
",00:36.8,1,,
17:59.5,e2001d8712171320c120,1,-55,"174
",00:36.8,1,,
17:59.5,e2001d8712171320c120,1,-56,"171
",00:36.9,1,,
17:59.6,e2001d8712171320c120,1,-55,"171
",00:36.9,1,,
17:59.6,e2001d8712171320c120,1,-55,"171
",00:36.9,1,,
17:59.6,e2001d8712171320c120,1,-55,"168
",00:37.0,1,,
17:59.7,e2001d8712171320c120,1,-55,"171
",00:37.0,1,,
17:59.7,e2001d8712171320c120,1,-55,"171
",00:37.0,1,,
17:59.7,e2001d8712171320c120,1,-56,"174
",00:37.1,1,,
17:59.8,e2001d8712171320c120,1,-57,"174
",00:37.2,1,,
17:59.8,e2001d8712171320c120,1,-55,"171
",00:37.2,1,,
17:59.9,e2001d8712171320c120,1,-55,"171
",00:37.2,1,,
17:59.9,e2001d8712171320c120,1,-56,"171
",00:37.3,1,,
17:59.9,e2001d8712171320c120,1,-56,"171
",00:37.3,1,,
18:00.0,e2001d8712171320c120,1,-55,"174
",00:37.4,1,,
18:00.1,e2001d8712171320c120,1,-55,"174
",00:37.5,1,,
18:00.1,e2001d8712171320c120,1,-55,"171
",00:37.5,1,,
18:00.2,e2001d8712171320c120,1,-55,"174
",00:37.5,1,,
18:00.2,e2001d8712171320c120,1,-55,"174
",00:37.6,1,,
18:00.2,e2001d8712171320c120,1,-55,"177
",00:37.6,1,,
18:00.3,e2001d8712171320c120,1,-55,"171
",00:37.6,1,,
18:00.3,e2001d8712171320c120,1,-55,"174
",00:37.7,1,,
18:00.3,e2001d8712171320c120,1,-55,"174
",00:37.7,1,,
18:00.4,e2001d8712171320c120,1,-55,"171
",00:37.8,1,,
18:00.4,e2001d8712171320c120,1,-55,"174
",00:37.8,1,,
18:00.5,e2001d8712171320c120,1,-55,"168
",00:37.8,1,,
18:00.5,e2001d8712171320c120,1,-55,"174
",00:37.9,1,,
18:00.6,e2001d8712171320c120,1,-55,"171
",00:38.0,1,,
18:00.7,e2001d8712171320c120,1,-55,"168
",00:38.0,1,,
18:00.7,e2001d8712171320c120,1,-55,"174
",00:38.0,1,,
18:00.7,e2001d8712171320c120,1,-55,"168
",00:38.1,1,,
18:00.8,e2001d8712171320c120,1,-56,"177
",00:38.1,1,,
18:00.8,e2001d8712171320c120,1,-55,"171
",00:38.2,1,,
18:00.8,e2001d8712171320c120,1,-56,"174
",00:38.2,1,,
18:00.9,e2001d8712171320c120,1,-56,"174
",00:38.2,1,,
18:00.9,e2001d8712171320c120,1,-55,"171
",00:38.3,1,,
18:01.0,e2001d8712171320c120,1,-56,"171
",00:38.3,1,,
18:01.0,e2001d8712171320c120,1,-55,"174
",00:38.4,1,,
18:01.0,e2001d8712171320c120,1,-56,"168
",00:38.4,1,,
18:01.1,e2001d8712171320c120,1,-57,"171
",00:38.5,1,,
18:01.2,e2001d8712171320c120,1,-56,"174
",00:38.6,1,,
18:01.2,e2001d8712171320c120,1,-55,"174
",00:38.6,1,,
18:01.3,e2001d8712171320c120,1,-55,"174
",00:38.6,1,,
18:01.3,e2001d8712171320c120,1,-56,"171
",00:38.6,1,,
18:01.4,e2001d8712171320c120,1,-55,"174
",00:38.7,1,,
18:01.4,e2001d8712171320c120,1,-55,"171
",00:38.7,1,,
18:01.4,e2001d8712171320c120,1,-56,"168
",00:38.8,1,,
18:01.5,e2001d8712171320c120,1,-56,"171
",00:38.8,1,,
18:01.5,e2001d8712171320c120,1,-55,"174
",00:38.9,1,,
18:01.5,e2001d8712171320c120,1,-55,"171
",00:38.9,1,,
18:01.6,e2001d8712171320c120,1,-55,"171
",00:39.0,1,,
18:01.6,e2001d8712171320c120,1,-55,"171
",00:39.0,1,,
18:01.6,e2001d8712171320c120,1,-55,"174
",00:39.0,1,,
18:01.7,e2001d8712171320c120,1,-55,"165
",00:39.0,1,,
18:01.7,e2001d8712171320c120,1,-55,"171
",00:39.1,1,,
18:01.8,e2001d8712171320c120,1,-56,"171
",00:39.1,1,,
18:01.8,e2001d8712171320c120,1,-56,"174
",00:39.2,1,,
18:01.8,e2001d8712171320c120,1,-55,"174
",00:39.2,1,,
18:01.9,e2001d8712171320c120,1,-56,"171
",00:39.2,1,,
18:01.9,e2001d8712171320c120,1,-55,"177
",00:39.3,1,,
18:01.9,e2001d8712171320c120,1,-55,"174
",00:39.3,1,,
18:02.0,e2001d8712171320c120,1,-55,"171
",00:39.3,1,,
18:02.0,e2001d8712171320c120,1,-56,"171
",00:39.4,1,,
18:02.1,e2001d8712171320c120,1,-55,"168
",00:39.5,1,,
18:02.1,e2001d8712171320c120,1,-55,"174
",00:39.5,1,,
18:02.2,e2001d8712171320c120,1,-55,"174
",00:39.5,1,,
18:02.2,e2001d8712171320c120,1,-55,"174
",00:39.6,1,,
18:02.3,e2001d8712171320c120,1,-55,"171
",00:39.6,1,,
18:02.3,e2001d8712171320c120,1,-55,"174
",00:39.6,1,,
18:02.3,e2001d8712171320c120,1,-55,"174
",00:39.7,1,,
18:02.3,e2001d8712171320c120,1,-55,"174
",00:39.7,1,,
18:02.4,e2001d8712171320c120,1,-55,"168
",00:39.7,1,,
18:02.4,e2001d8712171320c120,1,-55,"171
",00:39.8,1,,
18:02.5,e2001d8712171320c120,1,-55,"174
",00:39.8,1,,
18:02.5,e2001d8712171320c120,1,-55,"174
",00:39.9,1,,
18:02.6,e2001d8712171320c120,1,-55,"174
",00:39.9,1,,
18:02.6,e2001d8712171320c120,1,-55,"174
",00:39.9,1,,
18:02.6,e2001d8712171320c120,1,-55,"171
",00:40.0,1,,
18:02.7,e2001d8712171320c120,1,-55,"174
",00:40.0,1,,
18:02.7,e2001d8712171320c120,1,-55,"165
",00:40.0,1,,
18:02.7,e2001d8712171320c120,1,-55,"174
",00:40.1,1,,
18:02.8,e2001d8712171320c120,1,-56,"174
",00:40.2,1,,
18:02.8,e2001d8712171320c120,1,-56,"174
",00:40.2,1,,
18:02.8,e2001d8712171320c120,1,-56,"174
",00:40.2,1,,
18:02.9,e2001d8712171320c120,1,-55,"174
",00:40.2,1,,
18:02.9,e2001d8712171320c120,1,-55,"174
",00:40.2,1,,
18:02.9,e2001d8712171320c120,1,-56,"171
",00:40.3,1,,
18:03.0,e2001d8712171320c120,1,-55,"174
",00:40.3,1,,
18:03.2,e2001d8712171320c120,1,-55,"174
",00:40.5,1,,
18:03.2,e2001d8712171320c120,1,-55,"171
",00:40.5,1,,
18:03.2,e2001d8712171320c120,1,-55,"171
",00:40.6,1,,
18:03.3,e2001d8712171320c120,1,-55,"168
",00:40.6,1,,
18:03.3,e2001d8712171320c120,1,-55,"171
",00:40.7,1,,
18:03.3,e2001d8712171320c120,1,-55,"171
",00:40.7,1,,
18:03.4,e2001d8712171320c120,1,-56,"174
",00:40.8,1,,
18:03.4,e2001d8712171320c120,1,-55,"171
",00:40.8,1,,
18:03.5,e2001d8712171320c120,1,-55,"174
",00:40.9,1,,
18:03.6,e2001d8712171320c120,1,-57,"174
",00:40.9,1,,
18:03.6,e2001d8712171320c120,1,-56,"174
",00:41.0,1,,
18:03.6,e2001d8712171320c120,1,-57,"165
",00:41.0,1,,
18:03.7,e2001d8712171320c120,1,-56,"171
",00:41.0,1,,
18:03.7,e2001d8712171320c120,1,-57,"168
",00:41.1,1,,
18:03.8,e2001d8712171320c120,1,-55,"171
",00:41.1,1,,
18:03.8,e2001d8712171320c120,1,-56,"174
",00:41.2,1,,
18:03.8,e2001d8712171320c120,1,-55,"171
",00:41.2,1,,
18:03.8,e2001d8712171320c120,1,-55,"174
",00:41.2,1,,
18:03.9,e2001d8712171320c120,1,-57,"171
",00:41.2,1,,
18:03.9,e2001d8712171320c120,1,-55,"171
",00:41.3,1,,
18:04.0,e2001d8712171320c120,1,-55,"174
",00:41.3,1,,
18:04.0,e2001d8712171320c120,1,-55,"168
",00:41.3,1,,
18:04.1,e2001d8712171320c120,1,-55,"168
",00:41.5,1,,
18:04.2,e2001d8712171320c120,1,-55,"174
",00:41.5,1,,
18:04.2,e2001d8712171320c120,1,-55,"171
",00:41.5,1,,
18:04.2,e2001d8712171320c120,1,-55,"171
",00:41.6,1,,
18:04.2,e2001d8712171320c120,1,-55,"174
",00:41.6,1,,
18:04.3,e2001d8712171320c120,1,-55,"174
",00:41.6,1,,
18:04.3,e2001d8712171320c120,1,-55,"171
",00:41.6,1,,
18:04.3,e2001d8712171320c120,1,-55,"174
",00:41.7,1,,
18:04.4,e2001d8712171320c120,1,-55,"171
",00:41.7,1,,
18:04.4,e2001d8712171320c120,1,-55,"171
",00:41.8,1,,
18:04.4,e2001d8712171320c120,1,-55,"174
",00:41.8,1,,
18:04.5,e2001d8712171320c120,1,-55,"171
",00:41.8,1,,
18:04.5,e2001d8712171320c120,1,-55,"174
",00:41.9,1,,
18:04.6,e2001d8712171320c120,1,-55,"174
",00:41.9,1,,
18:04.6,e2001d8712171320c120,1,-55,"171
",00:42.0,1,,
18:04.6,e2001d8712171320c120,1,-56,"171
",00:42.0,1,,
18:04.7,e2001d8712171320c120,1,-55,"177
",00:42.0,1,,
18:04.7,e2001d8712171320c120,1,-55,"171
",00:42.1,1,,
18:04.8,e2001d8712171320c120,1,-55,"174
",00:42.2,1,,
18:04.9,e2001d8712171320c120,1,-56,"174
",00:42.2,1,,
18:04.9,e2001d8712171320c120,1,-56,"171
",00:42.2,1,,
18:04.9,e2001d8712171320c120,1,-56,"168
",00:42.3,1,,
18:05.0,e2001d8712171320c120,1,-55,"174
",00:42.3,1,,
18:05.0,e2001d8712171320c120,1,-55,"174
",00:42.4,1,,
18:05.1,e2001d8712171320c120,1,-56,"171
",00:42.5,1,,
18:05.1,e2001d8712171320c120,1,-56,"174
",00:42.5,1,,
18:05.2,e2001d8712171320c120,1,-55,"174
",00:42.5,1,,
18:05.2,e2001d8712171320c120,1,-55,"171
",00:42.6,1,,
18:05.3,e2001d8712171320c120,1,-56,"174
",00:42.6,1,,
18:05.3,e2001d8712171320c120,1,-56,"171
",00:42.7,1,,
18:05.3,e2001d8712171320c120,1,-56,"168
",00:42.7,1,,
18:05.4,e2001d8712171320c120,1,-56,"171
",00:42.8,1,,
18:05.4,e2001d8712171320c120,1,-56,"174
",00:42.8,1,,
18:05.4,e2001d8712171320c120,1,-56,"174
",00:42.8,1,,
18:05.5,e2001d8712171320c120,1,-55,"174
",00:42.8,1,,
18:05.5,e2001d8712171320c120,1,-55,"174
",00:42.9,1,,
18:05.5,e2001d8712171320c120,1,-55,"171
",00:42.9,1,,
18:05.6,e2001d8712171320c120,1,-55,"174
",00:42.9,1,,
18:05.6,e2001d8712171320c120,1,-55,"174
",00:43.0,1,,
18:05.6,e2001d8712171320c120,1,-55,"174
",00:43.0,1,,
18:05.7,e2001d8712171320c120,1,-55,"171
",00:43.0,1,,
18:05.8,e2001d8712171320c120,1,-55,"174
",00:43.1,1,,
18:05.8,e2001d8712171320c120,1,-55,"174
",00:43.1,1,,
18:05.8,e2001d8712171320c120,1,-55,"171
",00:43.2,1,,
18:05.8,e2001d8712171320c120,1,-56,"174
",00:43.2,1,,
18:05.8,e2001d8712171320c120,1,-55,"165
",00:43.2,1,,
18:05.9,e2001d8712171320c120,1,-56,"171
",00:43.2,1,,
18:05.9,e2001d8712171320c120,1,-55,"174
",00:43.3,1,,
18:06.0,e2001d8712171320c120,1,-55,"171
",00:43.3,1,,
18:06.0,e2001d8712171320c120,1,-56,"171
",00:43.4,1,,
18:06.1,e2001d8712171320c120,1,-55,"171
",00:43.5,1,,
18:06.2,e2001d8712171320c120,1,-56,"174
",00:43.6,1,,
18:06.2,e2001d8712171320c120,1,-55,"171
",00:43.6,1,,
18:06.3,e2001d8712171320c120,1,-55,"174
",00:43.6,1,,
18:06.3,e2001d8712171320c120,1,-55,"171
",00:43.6,1,,
18:06.3,e2001d8712171320c120,1,-55,"171
",00:43.7,1,,
18:06.4,e2001d8712171320c120,1,-55,"177
",00:43.7,1,,
18:06.4,e2001d8712171320c120,1,-56,"171
",00:43.7,1,,
18:06.4,e2001d8712171320c120,1,-56,"171
",00:43.8,1,,
18:06.5,e2001d8712171320c120,1,-56,"174
",00:43.8,1,,
18:06.5,e2001d8712171320c120,1,-55,"174
",00:43.9,1,,
18:06.5,e2001d8712171320c120,1,-55,"174
",00:43.9,1,,
18:06.6,e2001d8712171320c120,1,-55,"174
",00:44.0,1,,
18:06.6,e2001d8712171320c120,1,-55,"171
",00:44.0,1,,
18:06.6,e2001d8712171320c120,1,-56,"171
",00:44.0,1,,
18:06.7,e2001d8712171320c120,1,-55,"174
",00:44.0,1,,
18:06.8,e2001d8712171320c120,1,-55,"174
",00:44.1,1,,
18:06.8,e2001d8712171320c120,1,-55,"177
",00:44.2,1,,
18:06.9,e2001d8712171320c120,1,-55,"174
",00:44.2,1,,
18:06.9,e2001d8712171320c120,1,-55,"174
",00:44.3,1,,
18:06.9,e2001d8712171320c120,1,-55,"171
",00:44.3,1,,
18:07.0,e2001d8712171320c120,1,-55,"171
",00:44.3,1,,
18:07.1,e2001d8712171320c120,1,-55,"174
",00:44.5,1,,
18:07.2,e2001d8712171320c120,1,-55,"171
",00:44.5,1,,
18:07.2,e2001d8712171320c120,1,-55,"171
",00:44.6,1,,
18:07.3,e2001d8712171320c120,1,-55,"174
",00:44.6,1,,
18:07.3,e2001d8712171320c120,1,-55,"168
",00:44.6,1,,
18:07.3,e2001d8712171320c120,1,-55,"171
",00:44.7,1,,
18:07.4,e2001d8712171320c120,1,-55,"174
",00:44.8,1,,
18:07.4,e2001d8712171320c120,1,-55,"174
",00:44.8,1,,
18:07.5,e2001d8712171320c120,1,-56,"171
",00:44.8,1,,
18:07.5,e2001d8712171320c120,1,-56,"171
",00:44.9,1,,
18:07.6,e2001d8712171320c120,1,-56,"174
",00:44.9,1,,
18:07.6,e2001d8712171320c120,1,-56,"168
",00:44.9,1,,
18:07.6,e2001d8712171320c120,1,-55,"168
",00:45.0,1,,
18:07.6,e2001d8712171320c120,1,-56,"171
",00:45.0,1,,
18:07.7,e2001d8712171320c120,1,-56,"171
",00:45.1,1,,
18:07.8,e2001d8712171320c120,1,-55,"168
",00:45.2,1,,
18:07.8,e2001d8712171320c120,1,-55,"171
",00:45.2,1,,
18:07.9,e2001d8712171320c120,1,-55,"174
",00:45.2,1,,
18:07.9,e2001d8712171320c120,1,-55,"174
",00:45.2,1,,
18:07.9,e2001d8712171320c120,1,-55,"171
",00:45.3,1,,
18:08.0,e2001d8712171320c120,1,-56,"174
",00:45.3,1,,
18:08.0,e2001d8712171320c120,1,-56,"171
",00:45.4,1,,
18:08.1,e2001d8712171320c120,1,-55,"174
",00:45.5,1,,
18:08.2,e2001d8712171320c120,1,-56,"171
",00:45.5,1,,
18:08.2,e2001d8712171320c120,1,-55,"174
",00:45.5,1,,
18:08.2,e2001d8712171320c120,1,-56,"171
",00:45.6,1,,
18:08.3,e2001d8712171320c120,1,-56,"174
",00:45.6,1,,
18:08.3,e2001d8712171320c120,1,-55,"171
",00:45.7,1,,
18:08.3,e2001d8712171320c120,1,-56,"174
",00:45.7,1,,
18:08.4,e2001d8712171320c120,1,-55,"174
",00:45.7,1,,
18:08.4,e2001d8712171320c120,1,-55,"174
",00:45.8,1,,
18:08.5,e2001d8712171320c120,1,-55,"174
",00:45.8,1,,
18:08.5,e2001d8712171320c120,1,-56,"174
",00:45.9,1,,
18:08.5,e2001d8712171320c120,1,-55,"171
",00:45.9,1,,
18:08.6,e2001d8712171320c120,1,-55,"174
",00:46.0,1,,
18:08.6,e2001d8712171320c120,1,-55,"171
",00:46.0,1,,
