time,id,tag_id,RSSI,phase,17:22.6,activity
18:41.3,e2001d8712401320d4a0,2,-50,"168
",01:18.7,2
18:41.3,e2001d8712401320d4a0,2,-56,"174
",01:18.7,2
18:41.4,e2001d8712401320d4a0,2,-50,"174
",01:18.8,2
18:41.5,e2001d8712401320d4a0,2,-50,"174
",01:18.8,2
18:41.5,e2001d8712401320d4a0,2,-51,"174
",01:18.9,2
18:41.5,e2001d8712401320d4a0,2,-51,"171
",01:18.9,2
18:41.6,e2001d8712401320d4a0,2,-52,"174
",01:18.9,2
18:41.6,e2001d8712401320d4a0,2,-52,"174
",01:19.0,2
18:41.6,e2001d8712401320d4a0,2,-53,"171
",01:19.0,2
18:41.7,e2001d8712401320d4a0,2,-55,"168
",01:19.0,2
18:41.7,e2001d8712401320d4a0,2,-55,"168
",01:19.0,2
18:41.7,e2001d8712401320d4a0,2,-57,"168
",01:19.1,2
18:41.8,e2001d8712401320d4a0,2,-58,"171
",01:19.1,2
18:44.5,e2001d8712401320d4a0,2,-58,"168
",01:21.9,2
18:44.6,e2001d8712401320d4a0,2,-55,"174
",01:22.0,2
18:44.6,e2001d8712401320d4a0,2,-52,"171
",01:22.0,2
18:44.7,e2001d8712401320d4a0,2,-52,"174
",01:22.0,2
18:44.8,e2001d8712401320d4a0,2,-52,"174
",01:22.1,2
18:44.8,e2001d8712401320d4a0,2,-52,"174
",01:22.2,2
18:44.8,e2001d8712401320d4a0,2,-51,"174
",01:22.2,2
18:44.9,e2001d8712401320d4a0,2,-52,"168
",01:22.2,2
18:45.0,e2001d8712401320d4a0,2,-52,"171
",01:22.3,2
18:45.0,e2001d8712401320d4a0,2,-53,"174
",01:22.3,2
18:45.1,e2001d8712401320d4a0,2,-58,"171
",01:22.5,2
18:45.5,e2001d8712401320d4a0,2,-55,"174
",01:22.9,2
18:47.9,e2001d8712401320d4a0,2,-55,"174
",01:25.3,2
18:48.0,e2001d8712401320d4a0,2,-52,"168
",01:25.4,2
18:48.1,e2001d8712401320d4a0,2,-51,"174
",01:25.5,2
18:48.2,e2001d8712401320d4a0,2,-51,"171
",01:25.6,2
18:48.3,e2001d8712401320d4a0,2,-53,"171
",01:25.7,2
18:48.3,e2001d8712401320d4a0,2,-52,"174
",01:25.7,2
18:48.3,e2001d8712401320d4a0,2,-55,"174
",01:25.7,2
18:51.2,e2001d8712401320d4a0,2,-55,"171
",01:28.6,2
18:51.3,e2001d8712401320d4a0,2,-52,"174
",01:28.6,2
18:51.3,e2001d8712401320d4a0,2,-52,"174
",01:28.7,2
18:51.3,e2001d8712401320d4a0,2,-51,"174
",01:28.7,2
18:51.4,e2001d8712401320d4a0,2,-52,"171
",01:28.8,2
18:51.4,e2001d8712401320d4a0,2,-52,"174
",01:28.8,2
18:51.5,e2001d8712401320d4a0,2,-52,"174
",01:28.9,2
18:54.6,e2001d8712401320d4a0,2,-57,"171
",01:32.0,2
18:54.7,e2001d8712401320d4a0,2,-55,"171
",01:32.1,2
18:54.8,e2001d8712401320d4a0,2,-53,"171
",01:32.1,2
18:54.8,e2001d8712401320d4a0,2,-53,"171
",01:32.2,2
18:55.0,e2001d8712401320d4a0,2,-57,"174
",01:32.4,2
18:55.5,e2001d8712401320d4a0,2,-58,"171
",01:32.9,2
18:58.3,e2001d8712401320d4a0,2,-57,"171
",01:35.6,2
18:58.3,e2001d8712401320d4a0,2,-55,"171
",01:35.6,2
18:58.4,e2001d8712401320d4a0,2,-55,"174
",01:35.7,2
18:58.4,e2001d8712401320d4a0,2,-55,"171
",01:35.8,2
18:58.5,e2001d8712401320d4a0,2,-55,"174
",01:35.8,2
18:58.5,e2001d8712401320d4a0,2,-55,"174
",01:35.9,2
18:58.6,e2001d8712401320d4a0,2,-57,"171
",01:36.0,2
19:02.2,e2001d8712401320d4a0,2,-55,"177
",01:39.6,2
19:02.5,e2001d8712401320d4a0,2,-56,"171
",01:39.9,2
