time,id,RSSI,phase,,18:05:03.36,
18:08:12.73,e2001d8712461320db93,-53,"171
",00:03:09.37,,
18:08:12.78,e2001d8712461320db93,-53,"168
",00:03:09.42,,
18:08:12.82,e2001d8712461320db93,-53,"168
",00:03:09.46,,
18:08:12.83,e2001d8712461320db93,-55,"174
",00:03:09.47,,
18:08:12.85,e2001d8712401320d4a0,-58,"171
",00:03:09.49,,
18:08:12.85,e2001d8712401320d4a0,-58,"171
",00:03:09.49,,
18:08:12.85,e2001d8712401320d4a0,-58,"171
",00:03:09.49,,
18:08:12.90,e2001d8712461320db93,-55,"174
",00:03:09.54,,
18:08:12.92,e2001d8712401320d4a0,-57,"174
",00:03:09.56,,
18:08:12.93,e2001d8712401320d4a0,-58,"171
",00:03:09.57,,
18:08:12.95,e2001d8712461320db93,-55,"174
",00:03:09.59,,
18:08:12.97,e2001d8712401320d4a0,-57,"174
",00:03:09.61,,
18:08:12.98,e2001d8712461320db93,-56,"174
",00:03:09.62,,
18:08:12.98,e2001d8712461320db93,-56,"174
",00:03:09.62,,
18:08:13.16,e2001d8712461320db93,-55,"171
",00:03:09.80,,
18:08:13.33,e2001d8712401320d4a0,-57,"171
",00:03:09.97,,
18:08:13.33,e2001d8712401320d4a0,-57,"171
",00:03:09.97,,
18:08:13.66,e2001d8712461320db93,-55,"171
",00:03:10.30,,
18:08:13.10,e2001d8712401320d4a0,-55,"168
",00:03:09.74,,
18:08:13.13,e2001d8712401320d4a0,-55,"174
",00:03:09.77,,
18:08:13.15,e2001d871271320b9f,-57,"171
",00:03:09.79,,
18:08:13.17,e2001d8712401320d4a0,-55,"174
",00:03:09.81,,
18:08:13.22,e2001d8712401320d4a0,-55,"171
",00:03:09.86,,
18:08:13.27,e2001d871271320b9f,-53,"174
",00:03:09.91,,
18:08:13.28,e2001d8712461320db93,-52,"174
",00:03:09.92,,
18:08:13.32,e2001d8712171320c120,-58,"174
",00:03:09.96,,
18:08:13.33,e2001d871271320b9f,-53,"168
",00:03:09.97,,
18:08:13.38,e2001d871271320b9f,-56,"174
",00:03:10.02,,
18:08:13.40,e2001d8712401320d4a0,-57,"168
",00:03:10.04,,
18:08:13.45,e2001d871271320b9f,-52,"174
",00:03:10.09,,
18:08:13.45,e2001d871271320b9f,-52,"174
",00:03:10.09,,
18:08:13.50,e2001d8712461320db93,-55,"171
",00:03:10.14,,
18:08:13.58,e2001d8712461320db93,-57,"174
",00:03:10.22,,
18:08:13.60,e2001d8712171320c120,-55,"174
",00:03:10.24,,
18:08:13.63,e2001d8712401320d4a0,-56,"171
",00:03:10.27,,
18:08:13.65,e2001d8712461320db93,-57,"174
",00:03:10.29,,
18:08:13.72,e2001d8712461320db93,-57,"174
",00:03:10.36,,
18:08:13.73,e2001d871271320b9f,-52,"174
",00:03:10.37,,
18:08:13.77,e2001d8712401320d4a0,-55,"174
",00:03:10.41,,
18:08:13.78,e2001d8712461320db93,-57,"171
",00:03:10.42,,
18:08:13.82,e2001d871271320b9f,-52,"174
",00:03:10.46,,
18:08:13.82,e2001d871271320b9f,-52,"174
",00:03:10.46,,
18:08:13.85,e2001d8712401320d4a0,-55,"174
",00:03:10.49,,
18:08:13.97,e2001d871271320b9f,-51,"171
",00:03:10.61,,
18:08:13.98,e2001d8712401320d4a0,-55,"171
",00:03:10.62,,
18:08:14.00,e2001d871271320b9f,-51,"171
",00:03:10.64,,
18:08:14.33,e2001d871271320b9f,-53,"174
",00:03:10.97,,
18:08:14.33,e2001d871271320b9f,-53,"174
",00:03:10.97,,
18:08:14.66,e2001d8712461320db93,-57,"174
",00:03:11.30,,
18:08:14.12,e2001d871271320b9f,-52,"174
",00:03:10.76,,
18:08:14.13,e2001d8712461320db93,-55,"174
",00:03:10.77,,
18:08:14.15,e2001d8712401320d4a0,-55,"171
",00:03:10.79,,
18:08:14.17,e2001d871271320b9f,-52,"171
",00:03:10.81,,
18:08:14.18,e2001d8712461320db93,-55,"171
",00:03:10.82,,
18:08:14.22,e2001d871271320b9f,-52,"171
",00:03:10.86,,
18:08:14.23,e2001d8712401320d4a0,-56,"174
",00:03:10.87,,
18:08:14.25,e2001d8712461320db93,-55,"174
",00:03:10.89,,
18:08:14.27,e2001d871271320b9f,-53,"171
",00:03:10.91,,
18:08:14.32,e2001d8712401320d4a0,-53,"171
",00:03:10.96,,
18:08:14.33,e2001d871271320b9f,-53,"174
",00:03:10.97,,
18:08:14.33,e2001d871271320b9f,-53,"174
",00:03:10.97,,
18:08:14.37,e2001d8712401320d4a0,-52,"174
",00:03:11.01,,
18:08:14.38,e2001d871271320b9f,-55,"171
",00:03:11.02,,
18:08:14.42,e2001d871271320b9f,-55,"168
",00:03:11.06,,
18:08:14.43,e2001d8712401320d4a0,-53,"174
",00:03:11.07,,
18:08:14.45,e2001d8712461320db93,-55,"168
",00:03:11.09,,
18:08:14.47,e2001d8712401320d4a0,-55,"171
",00:03:11.11,,
18:08:14.48,e2001d8712401320d4a0,-55,"171
",00:03:11.12,,
18:08:14.50,e2001d8712461320db93,-55,"171
",00:03:11.14,,
18:08:14.52,e2001d8712461320db93,-55,"174
",00:03:11.16,,
18:08:14.53,e2001d8712401320d4a0,-55,"174
",00:03:11.17,,
18:08:14.55,e2001d8712461320db93,-56,"168
",00:03:11.19,,
18:08:14.57,e2001d8712401320d4a0,-55,"174
",00:03:11.21,,
18:08:14.58,e2001d8712461320db93,-55,"174
",00:03:11.22,,
18:08:14.60,e2001d8712401320d4a0,-56,"171
",00:03:11.24,,
18:08:14.62,e2001d8712461320db93,-55,"168
",00:03:11.26,,
18:08:14.63,e2001d8712401320d4a0,-57,"174
",00:03:11.27,,
18:08:14.65,e2001d8712461320db93,-55,"171
",00:03:11.29,,
18:08:14.68,e2001d8712461320db93,-55,"171
",00:03:11.32,,
18:08:14.68,e2001d8712461320db93,-55,"171
",00:03:11.32,,
18:08:14.72,e2001d8712461320db93,-55,"171
",00:03:11.36,,
18:08:14.72,e2001d8712461320db93,-55,"171
",00:03:11.36,,
18:08:14.75,e2001d8712461320db93,-55,"174
",00:03:11.39,,
18:08:14.77,e2001d8712171320c120,-59,"174
",00:03:11.41,,
18:08:14.77,e2001d8712171320c120,-59,"174
",00:03:11.41,,
18:08:14.82,e2001d8712461320db93,-55,"168
",00:03:11.46,,
18:08:14.83,e2001d8712171320c120,-58,"174
",00:03:11.47,,
18:08:14.85,e2001d8712461320db93,-55,"168
",00:03:11.49,,
18:08:14.87,e2001d8712171320c120,-58,"171
",00:03:11.51,,
18:08:14.87,e2001d8712171320c120,-58,"171
",00:03:11.51,,
18:08:14.90,e2001d8712461320db93,-53,"174
",00:03:11.54,,
18:08:14.92,e2001d8712171320c120,-57,"177
",00:03:11.56,,
18:08:14.92,e2001d8712171320c120,-57,"177
",00:03:11.56,,
18:08:14.95,e2001d8712171320c120,-57,"171
",00:03:11.59,,
18:08:14.97,e2001d8712461320db93,-53,"171
",00:03:11.61,,
18:08:14.98,e2001d8712461320db93,-53,"174
",00:03:11.62,,
18:08:15.00,e2001d8712171320c120,-57,"171
",00:03:11.64,,
18:08:15.00,e2001d8712171320c120,-57,"171
",00:03:11.64,,
18:08:15.50,e2001d8712461320db93,-53,"174
",00:03:12.14,,
18:08:15.67,e2001d8712171320c120,-57,"174
",00:03:12.31,,
18:08:15.12,e2001d8712171320c120,-59,"174
",00:03:11.76,,
18:08:15.13,e2001d8712461320db93,-55,"174
",00:03:11.77,,
18:08:15.15,e2001d8712171320c120,-58,"171
",00:03:11.79,,
18:08:15.17,e2001d8712461320db93,-55,"174
",00:03:11.81,,
18:08:15.17,e2001d8712461320db93,-55,"174
",00:03:11.81,,
18:08:15.22,e2001d8712461320db93,-55,"174
",00:03:11.86,,
18:08:15.25,e2001d8712461320db93,-55,"168
",00:03:11.89,,
18:08:15.28,e2001d8712461320db93,-55,"174
",00:03:11.92,,
18:08:15.30,e2001d8712461320db93,-57,"171
",00:03:11.94,,
18:08:15.30,e2001d8712461320db93,-57,"171
",00:03:11.94,,
18:08:15.33,e2001d8712461320db93,-58,"174
",00:03:11.97,,
18:08:15.33,e2001d8712461320db93,-58,"174
",00:03:11.97,,
18:08:15.33,e2001d8712461320db93,-58,"174
",00:03:11.97,,
18:08:15.38,e2001d8712461320db93,-58,"174
",00:03:12.02,,
18:08:15.38,e2001d8712461320db93,-58,"174
",00:03:12.02,,
18:08:15.42,e2001d8712461320db93,-59,"168
",00:03:12.06,,
18:08:15.43,e2001d8712461320db93,-58,"168
",00:03:12.07,,
18:08:15.43,e2001d8712461320db93,-58,"168
",00:03:12.07,,
18:08:15.43,e2001d8712461320db93,-58,"168
",00:03:12.07,,
18:08:15.48,e2001d8712461320db93,-58,"174
",00:03:12.12,,
18:08:15.50,e2001d8712401320d4a0,-58,"171
",00:03:12.14,,
18:08:15.52,e2001d8712461320db93,-57,"168
",00:03:12.16,,
18:08:15.53,e2001d8712401320d4a0,-57,"171
",00:03:12.17,,
18:08:15.53,e2001d8712401320d4a0,-57,"171
",00:03:12.17,,
18:08:15.57,e2001d8712461320db93,-55,"174
",00:03:12.21,,
18:08:15.58,e2001d8712401320d4a0,-58,"171
",00:03:12.22,,
18:08:15.60,e2001d8712401320d4a0,-59,"0
",00:03:12.24,,
18:08:15.62,e2001d8712461320db93,-52,"174
",00:03:12.26,,
18:08:15.63,e2001d8712461320db93,-52,"171
",00:03:12.27,,
18:08:15.65,e2001d8712401320d4a0,-58,"171
",00:03:12.29,,
18:08:15.67,e2001d8712461320db93,-52,"171
",00:03:12.31,,
18:08:15.68,e2001d8712401320d4a0,-57,"174
",00:03:12.32,,
18:08:15.68,e2001d8712401320d4a0,-57,"174
",00:03:12.32,,
18:08:15.72,e2001d8712401320d4a0,-57,"171
",00:03:12.36,,
18:08:15.73,e2001d8712461320db93,-53,"174
",00:03:12.37,,
18:08:15.77,e2001d871271320b9f,-57,"174
",00:03:12.41,,
18:08:15.77,e2001d871271320b9f,-57,"174
",00:03:12.41,,
18:08:15.80,e2001d8712401320d4a0,-57,"168
",00:03:12.44,,
18:08:15.82,e2001d871271320b9f,-55,"174
",00:03:12.46,,
18:08:15.85,e2001d8712461320db93,-58,"174
",00:03:12.49,,
18:08:15.87,e2001d871271320b9f,-53,"171
",00:03:12.51,,
18:08:15.88,e2001d8712401320d4a0,-58,"171
",00:03:12.52,,
18:08:15.92,e2001d8712461320db93,-57,"177
",00:03:12.56,,
18:08:15.93,e2001d8712401320d4a0,-56,"174
",00:03:12.57,,
18:08:15.93,e2001d8712401320d4a0,-56,"174
",00:03:12.57,,
18:08:15.97,e2001d8712401320d4a0,-55,"171
",00:03:12.61,,
18:08:15.98,e2001d871271320b9f,-51,"174
",00:03:12.62,,
18:08:16.17,e2001d871271320b9f,-51,"171
",00:03:12.81,,
18:08:16.34,e2001d8712401320d4a0,-55,"171
",00:03:12.98,,
18:08:16.66,e2001d871271320b9f,-49,"174
",00:03:13.30,,
18:08:16.83,e2001d8712461320db93,-52,"168
",00:03:13.47,,
18:08:16.12,e2001d871271320b9f,-49,"171
",00:03:12.76,,
18:08:16.13,e2001d8712461320db93,-52,"174
",00:03:12.77,,
18:08:16.15,e2001d8712401320d4a0,-51,"171
",00:03:12.79,,
18:08:16.17,e2001d871271320b9f,-49,"174
",00:03:12.81,,
18:08:16.18,e2001d8712461320db93,-52,"171
",00:03:12.82,,
18:08:16.20,e2001d8712461320db93,-52,"171
",00:03:12.84,,
18:08:16.22,e2001d8712401320d4a0,-51,"174
",00:03:12.86,,
18:08:16.23,e2001d871271320b9f,-49,"174
",00:03:12.87,,
18:08:16.25,e2001d8712461320db93,-52,"174
",00:03:12.89,,
18:08:16.27,e2001d871271320b9f,-49,"174
",00:03:12.91,,
18:08:16.30,e2001d871271320b9f,-49,"174
",00:03:12.94,,
18:08:16.32,e2001d8712461320db93,-52,"174
",00:03:12.96,,
18:08:16.33,e2001d871271320b9f,-49,"174
",00:03:12.97,,
18:08:16.35,e2001d8712401320d4a0,-51,"174
",00:03:12.99,,
18:08:16.40,e2001d8712461320db93,-52,"174
",00:03:13.04,,
18:08:16.42,e2001d8712171320c120,-57,"174
",00:03:13.06,,
18:08:16.47,e2001d871271320b9f,-50,"174
",00:03:13.11,,
18:08:16.48,e2001d8712401320d4a0,-52,"171
",00:03:13.12,,
18:08:16.52,e2001d8712461320db93,-55,"171
",00:03:13.16,,
18:08:16.53,e2001d8712401320d4a0,-53,"174
",00:03:13.17,,
18:08:16.55,e2001d871271320b9f,-52,"171
",00:03:13.19,,
18:08:16.55,e2001d871271320b9f,-52,"171
",00:03:13.19,,
18:08:16.60,e2001d8712461320db93,-52,"174
",00:03:13.24,,
18:08:16.68,e2001d871271320b9f,-51,"174
",00:03:13.32,,
18:08:16.70,e2001d8712461320db93,-53,"171
",00:03:13.34,,
18:08:16.72,e2001d8712401320d4a0,-53,"174
",00:03:13.36,,
18:08:16.73,e2001d8712461320db93,-52,"174
",00:03:13.37,,
18:08:16.77,e2001d8712461320db93,-51,"171
",00:03:13.41,,
18:08:16.78,e2001d8712461320db93,-52,"171
",00:03:13.42,,
18:08:16.80,e2001d871271320b9f,-55,"168
",00:03:13.44,,
18:08:16.82,e2001d8712461320db93,-52,"168
",00:03:13.46,,
18:08:16.87,e2001d871271320b9f,-58,"174
",00:03:13.51,,
18:08:16.88,e2001d8712401320d4a0,-58,"174
",00:03:13.52,,
18:08:16.91,e2001d8712461320db93,-56,"171
",00:03:13.56,,
18:08:16.93,e2001d8712461320db93,-57,"174
",00:03:13.57,,
18:08:16.93,e2001d8712461320db93,-57,"174
",00:03:13.57,,
18:08:16.98,e2001d8712461320db93,-56,"174
",00:03:13.62,,
18:08:16.98,e2001d8712461320db93,-56,"174
",00:03:13.62,,
18:08:17.17,e2001d8712461320db93,-56,"174
",00:03:13.81,,
18:08:17.51,e2001d8712461320db93,-55,"171
",00:03:14.15,,
18:08:17.67,e2001d8712401320d4a0,-57,"171
",00:03:14.31,,
18:08:17.83,e2001d8712461320db93,-55,"174
",00:03:14.47,,
18:08:17.10,e2001d8712401320d4a0,-57,"171
",00:03:13.74,,
18:08:17.12,e2001d8712171320c120,-58,"174
",00:03:13.76,,
18:08:17.13,e2001d8712461320db93,-55,"177
",00:03:13.77,,
18:08:17.15,e2001d8712461320db93,-53,"174
",00:03:13.79,,
18:08:17.17,e2001d8712171320c120,-57,"174
",00:03:13.81,,
18:08:17.18,e2001d8712461320db93,-55,"174
",00:03:13.82,,
18:08:17.20,e2001d8712171320c120,-55,"177
",00:03:13.84,,
18:08:17.22,e2001d8712171320c120,-55,"171
",00:03:13.86,,
18:08:17.23,e2001d8712461320db93,-53,"168
",00:03:13.87,,
18:08:17.27,e2001d8712461320db93,-53,"171
",00:03:13.91,,
18:08:17.28,e2001d8712171320c120,-55,"168
",00:03:13.92,,
18:08:17.30,e2001d8712171320c120,-55,"174
",00:03:13.94,,
18:08:17.32,e2001d8712461320db93,-53,"171
",00:03:13.96,,
18:08:17.33,e2001d8712171320c120,-55,"174
",00:03:13.97,,
18:08:17.35,e2001d8712461320db93,-53,"174
",00:03:13.99,,
18:08:17.37,e2001d8712171320c120,-55,"174
",00:03:14.01,,
