,time,activity,mean,variance
296,12:28.8,6,-55,1
297,12:28.9,6,-56,1
298,12:29.3,6,-55,0
299,12:29.4,6,-55,0
300,12:29.5,6,-55,0
301,12:30.0,6,-55,0
302,12:30.3,6,-55,0
303,12:30.4,6,-55,1
304,12:30.8,6,-55,0
305,12:31.0,6,-55,0
306,12:31.9,6,-55,0
307,12:31.3,6,-55,0
308,12:31.4,6,-53,1
309,12:31.6,6,-53,1
310,12:32.3,6,-55,0
311,12:32.3,6,-55,0
312,12:32.4,6,-55,0
313,12:32.5,6,-57,2
314,12:32.8,6,-57,0
315,12:32.9,6,-55,0
316,12:33.3,6,-55,0
317,12:33.3,6,-55,0
318,12:33.5,6,-54,1
319,12:33.6,6,-53,1
320,12:33.9,6,-56,0
321,12:34.0,6,-55,0
322,12:34.8,6,-55,0
323,12:34.3,6,-55,0
324,12:34.4,6,-57,0
325,12:34.5,6,-57,0
326,12:34.6,6,-57,0
327,12:34.7,6,-55,1
328,12:35.8,6,-55,0
329,12:35.9,7,-55,0
330,12:36.0,7,-55,0
331,12:36.1,7,-55,0
332,12:36.3,7,-54,1
333,12:36.5,7,-54,1
334,12:36.6,7,-54,1
335,12:36.7,7,-56,2
336,12:37.7,7,-55,1
337,12:37.2,7,-55,1
338,12:37.5,7,-56,0
339,12:37.7,7,-56,1
340,12:37.9,7,-55,0
341,12:38.2,7,-55,0
342,12:38.2,7,-55,0
343,12:38.3,7,-56,1
344,12:38.4,7,-57,0
345,12:38.5,7,-57,0
346,12:38.6,7,-56,0
347,12:38.7,7,-56,0
348,12:39.0,7,-56,1
349,12:40.0,7,-55,0
350,12:39.4,7,-55,0
351,12:39.6,7,-55,0
352,12:40.0,7,-56,1
353,12:40.1,7,-56,1
354,12:40.3,7,-57,0
355,12:40.4,7,-57,0
356,12:40.5,7,-57,0
357,12:40.6,7,-56,1
358,12:40.7,7,-56,1
359,12:40.8,7,-55,5
360,12:41.3,7,-53,0
361,12:41.5,7,-53,0
362,12:41.6,7,-53,1
363,12:41.8,7,-56,1
364,12:42.8,7,-55,0
365,12:42.3,7,-55,0
366,12:42.5,7,-55,0
367,12:42.7,7,-55,0
368,12:43.2,7,-55,0
369,12:43.5,7,-55,0
370,12:43.8,7,-57,1
371,12:43.9,7,-56,0
372,12:44.2,7,-56,1
373,12:44.2,7,-55,0
374,12:44.3,7,-56,0
375,12:44.5,7,-56,0
376,12:44.6,7,-56,1
377,12:44.9,7,-54,3
378,12:45.5,7,-55,0
379,12:46.0,7,-56,0
380,12:46.7,7,-54,1
381,12:46.3,7,-54,1
382,12:46.5,7,-55,0
383,12:46.6,7,-56,1
384,12:47.0,7,-55,0
385,12:47.3,7,-55,0
386,12:47.5,7,-55,0
387,12:47.8,7,-55,0
388,12:48.0,7,-55,8
389,12:48.1,7,-54,3
390,12:48.3,7,-55,0
391,12:48.5,7,-55,0
392,12:48.6,7,-55,0
393,12:48.8,7,-56,0
394,12:48.9,7,-57,0
395,12:49.2,7,-55,0
396,12:49.3,7,-55,0
397,12:49.5,7,-55,0
398,12:49.6,7,-55,0
399,12:49.7,7,-55,0
400,12:49.9,7,-55,0
401,12:50.1,7,-56,0
402,12:50.4,7,-57,1
403,12:50.5,7,-57,0
404,12:50.8,7,-53,2
405,12:50.9,7,-50,1
406,12:51.5,7,-50,0
407,12:51.2,7,-50,0
408,12:51.3,7,-49,0
409,12:51.4,7,-49,1
410,12:51.5,7,-51,0
411,12:51.9,7,-50,1
412,12:52.7,7,-51,4
413,12:52.4,7,-49,1
414,12:52.6,7,-50,1
415,12:52.9,7,-49,0
416,12:53.1,7,-49,0
417,12:53.3,7,-49,0
418,12:53.7,7,-49,0
419,12:53.9,7,-49,0
420,12:54.1,7,-49,0
421,12:54.4,7,-49,0
422,12:54.7,7,-49,0
423,12:54.9,7,-49,0
