time,activity,mean,variance,tag_id
06:14.7,3,-50,0,3
06:14.8,3,-55,0,1
06:14.9,3,-49,0,3
06:15.0,3,-54,1,1
06:15.0,3,-50,0,3
06:15.1,3,-49,1,3
06:15.2,3,-53,1,1
06:15.2,3,-49,0,3
06:15.3,3,-55,0,1
06:15.3,3,-49,0,3
06:15.4,3,-55,0,1
06:15.4,3,-49,0,3
06:15.5,3,-55,0,1
06:15.6,3,-49,0,3
06:15.7,3,-55,0,1
06:15.7,3,-55,0,1
06:15.7,3,-51,1,3
06:15.8,3,-57,0,1
06:15.9,3,-53,0,3
06:16.0,3,-52,0,3
06:16.2,3,-51,0,3
06:16.3,3,-51,0,3
06:16.4,3,-51,0,3
06:16.5,3,-51,0,3
06:16.6,3,-51,0,3
06:16.7,3,-51,0,3
06:16.8,3,-51,0,3
06:16.8,3,-51,0,3
06:16.9,3,-57,0,1
06:16.9,3,-50,0,3
06:17.0,3,-49,0,3
06:17.1,3,-49,0,3
06:17.2,3,-55,0,1
06:17.3,3,-55,0,1
06:17.3,3,-49,0,3
06:17.4,3,-53,1,1
06:17.4,3,-49,0,3
06:17.5,3,-54,1,1
06:17.5,3,-49,0,3
06:17.6,3,-55,0,1
06:17.6,3,-49,0,3
06:17.7,3,-55,0,1
06:17.7,3,-49,0,3
06:17.8,3,-55,0,1
06:17.9,3,-55,1,1
06:17.9,3,-49,0,3
06:18.0,3,-57,0,1
06:18.0,3,-57,0,1
06:18.0,3,-50,0,3
06:18.1,3,-55,1,1
06:18.1,3,-49,0,3
06:18.1,3,-50,0,3
06:18.1,3,-52,0,3
06:18.1,3,-52,0,3
06:18.1,3,-52,0,3
06:18.1,3,-52,0,3
06:18.1,3,-52,0,3
06:18.2,3,-56,1,1
06:18.3,3,-56,0,1
06:18.3,3,-49,0,3
06:18.4,3,-49,0,3
06:19.2,3,-53,0,3
06:19.3,3,-58,1,1
06:19.3,3,-52,0,3
06:19.4,3,-52,0,3
06:19.5,3,-56,0,1
06:19.5,3,-52,0,3
06:19.6,3,-55,0,1
06:19.6,3,-52,0,3
06:19.7,3,-56,0,1
06:19.7,3,-51,0,3
06:19.8,3,-56,0,1
06:19.8,3,-52,0,3
06:19.8,3,-51,0,3
06:19.9,3,-56,1,1
06:19.9,3,-51,0,3
06:20.1,3,-49,0,3
06:20.2,3,-55,0,1
06:20.2,3,-52,0,1
06:20.3,3,-53,0,1
06:20.3,3,-49,0,3
06:20.4,3,-55,0,1
06:20.4,3,-49,0,3
06:20.5,3,-50,1,3
06:20.5,3,-49,0,3
06:20.6,3,-55,0,1
06:20.7,3,-56,1,1
06:20.7,3,-50,0,3
06:20.8,3,-57,0,1
06:20.8,3,-52,0,3
06:20.9,3,-57,0,1
06:20.9,3,-52,0,3
06:21.0,3,-52,0,1
06:21.2,3,-51,0,3
06:21.2,3,-51,0,3
06:21.3,3,-58,0,1
06:21.3,3,-51,0,3
06:21.4,3,-51,0,3
06:21.5,3,-51,0,3
06:21.5,3,-51,0,3
06:21.6,3,-51,0,3
06:21.7,3,-51,0,3
06:21.8,3,-51,0,3
06:21.9,3,-58,0,1
06:22.0,3,-58,0,1
06:22.0,3,-50,0,3
06:22.1,3,-56,0,1
06:22.2,3,-55,0,1
06:22.2,3,-49,0,3
06:22.3,3,-56,1,1
06:22.3,3,-49,0,3
06:22.4,3,-55,0,1
06:22.4,3,-49,0,3
06:22.5,3,-55,0,1
06:22.6,3,-54,1,1
06:22.6,3,-49,0,3
06:22.7,3,-49,1,3
06:22.8,3,-55,0,1
06:22.8,3,-49,0,3
06:22.8,3,-49,0,3
06:22.9,3,-56,1,1
06:22.9,3,-49,0,3
06:23.1,3,-57,0,1
06:23.2,3,-49,0,3
06:23.3,3,-56,1,1
06:23.3,3,-57,1,1
06:23.3,3,-49,0,3
06:23.4,3,-57,0,1
06:23.4,3,-50,3,3
06:23.5,3,-49,0,3
06:23.5,3,-52,0,3
06:23.6,3,-52,0,3
06:23.8,3,-52,0,3
06:23.8,3,-53,0,3
06:23.9,3,-53,0,3
06:24.1,3,-51,0,3
06:24.2,3,-58,0,1
06:24.2,3,-52,1,3
06:24.2,3,-51,0,3
06:24.3,3,-58,0,1
06:24.4,3,-58,0,1
06:24.4,3,-51,0,3
06:24.5,3,-57,0,1
06:24.5,3,-51,0,3
06:24.6,3,-51,0,3
06:24.7,3,-55,0,1
06:24.7,3,-51,0,3
06:24.8,3,-56,0,1
06:24.9,3,-56,0,1
06:24.9,3,-52,0,3
06:25.0,3,-57,0,1
06:25.0,3,-51,0,3
06:25.1,3,-54,1,1
06:25.2,3,-53,0,1
06:25.3,3,-53,0,1
06:25.3,3,-49,0,3
06:25.4,3,-49,0,3
06:25.5,3,-55,0,1
