time,id,id_num,RSSI,phase,activity
11:13.1,e2001d8712461320db93,3,-57,"171
",5
11:13.5,e2001d871271320b9f,4,-52,"168
",5
11:13.5,e2001d8712401320d4a0,2,-52,"171
",5
11:13.5,e2001d871271320b9f,4,-52,"171
",5
11:13.5,e2001d8712401320d4a0,2,-51,"171
",5
11:13.6,e2001d8712461320db93,3,-53,"174
",5
11:13.6,e2001d871271320b9f,4,-52,"174
",5
11:13.6,e2001d8712401320d4a0,2,-51,"177
",5
11:13.6,e2001d871271320b9f,4,-52,"171
",5
11:13.7,e2001d8712461320db93,3,-53,"171
",5
11:13.7,e2001d8712401320d4a0,2,-51,"171
",5
11:13.7,e2001d8712401320d4a0,2,-52,"171
",5
11:13.8,e2001d8712461320db93,3,-55,"174
",5
11:13.8,e2001d8712401320d4a0,2,-52,"174
",5
11:13.8,e2001d8712401320d4a0,2,-52,"168
",5
11:13.8,e2001d8712401320d4a0,2,-52,"174
",5
11:13.9,e2001d8712461320db93,3,-55,"171
",5
11:13.9,e2001d8712401320d4a0,2,-56,"174
",5
11:13.9,e2001d8712461320db93,3,-58,"171
",5
11:13.9,e2001d8712401320d4a0,2,-57,"171
",5
11:13.9,e2001d8712461320db93,3,-57,"171
",5
11:14.0,e2001d8712401320d4a0,2,-57,"168
",5
11:14.0,e2001d8712461320db93,3,-57,"174
",5
11:14.0,e2001d8712401320d4a0,2,-57,"171
",5
11:14.0,e2001d8712461320db93,3,-56,"174
",5
11:14.2,e2001d8712401320d4a0,2,-58,"171
",5
11:14.3,e2001d8712461320db93,3,-57,"171
",5
11:14.5,e2001d8712461320db93,3,-57,"171
",5
11:14.8,e2001d8712461320db93,3,-56,"177
",5
11:14.1,e2001d8712461320db93,3,-56,"174
",5
11:14.2,e2001d8712461320db93,3,-57,"171
",5
11:14.2,e2001d8712461320db93,3,-56,"171
",5
11:14.2,e2001d8712461320db93,3,-56,"171
",5
11:14.2,e2001d8712401320d4a0,2,-56,"174
",5
11:14.3,e2001d8712171320c120,1,-55,"171
",5
11:14.3,e2001d8712401320d4a0,2,-56,"171
",5
11:14.4,e2001d8712171320c120,1,-56,"174
",5
11:14.4,e2001d8712461320db93,3,-53,"168
",5
11:14.4,e2001d8712401320d4a0,2,-55,"174
",5
11:14.4,e2001d8712401320d4a0,2,-55,"171
",5
11:14.5,e2001d8712461320db93,3,-55,"174
",5
11:14.5,e2001d8712461320db93,3,-55,"174
",5
11:14.5,e2001d8712171320c120,1,-56,"171
",5
11:14.5,e2001d8712171320c120,1,-57,"171
",5
11:14.5,e2001d8712461320db93,3,-53,"171
",5
11:14.6,e2001d8712461320db93,3,-55,"174
",5
11:14.6,e2001d8712461320db93,3,-55,"171
",5
11:14.6,e2001d8712401320d4a0,2,-55,"174
",5
11:14.6,e2001d8712461320db93,3,-55,"168
",5
11:14.6,e2001d8712401320d4a0,2,-56,"171
",5
11:14.7,e2001d8712401320d4a0,2,-55,"171
",5
11:14.7,e2001d8712461320db93,3,-55,"174
",5
11:14.7,e2001d8712401320d4a0,2,-56,"171
",5
11:14.7,e2001d8712461320db93,3,-55,"171
",5
11:14.7,e2001d8712401320d4a0,2,-55,"168
",5
11:14.8,e2001d8712461320db93,3,-55,"171
",5
11:14.8,e2001d8712461320db93,3,-57,"174
",5
11:14.8,e2001d8712401320d4a0,2,-55,"174
",5
11:14.8,e2001d8712401320d4a0,2,-55,"174
",5
11:14.8,e2001d8712461320db93,3,-57,"174
",5
11:14.8,e2001d8712401320d4a0,2,-56,"174
",5
11:14.9,e2001d8712461320db93,3,-57,"168
",5
11:14.9,e2001d8712461320db93,3,-58,"174
",5
11:15.0,e2001d8712401320d4a0,2,-57,"168
",5
11:15.0,e2001d8712461320db93,3,-57,"171
",5
11:15.0,e2001d871271320b9f,4,-58,"171
",5
11:15.0,e2001d8712171320c120,1,-57,"168
",5
11:15.3,e2001d871271320b9f,4,-56,"171
",5
