time,id,RSSI,phase,,,
04:54.7,e2001d8712461320db93,-51,"174
",,,
04:54.9,e2001d8712461320db93,-51,"168
",,,
04:54.9,e2001d871271320b9f,-57,"174
",,,
04:55.0,e2001d8712401320d4a0,-57,"171
",,,
04:55.0,e2001d8712401320d4a0,-57,"171
",,,
04:55.0,e2001d8712401320d4a0,-57,"171
",,,
04:55.2,e2001d8712171320c120,-55,"177
",,,
04:55.6,e2001d8712461320db93,-49,"174
",,,
04:55.7,e2001d8712461320db93,-50,"174
",,,
04:55.7,e2001d8712461320db93,-50,"174
",,,
04:55.7,e2001d8712171320c120,-53,"171
",,,
04:55.7,e2001d8712171320c120,-53,"171
",,,
04:55.9,e2001d8712461320db93,-50,"174
",,,
04:55.9,e2001d8712461320db93,-50,"174
",,,
04:55.9,e2001d8712171320c120,-55,"168
",,,
04:56.2,e2001d8712401320d4a0,-53,"174
",,,
04:56.2,e2001d8712461320db93,-50,"174
",,,
04:57.4,e2001d8712401320d4a0,-52,"171
",,,
04:57.4,e2001d8712461320db93,-49,"171
",,,
04:58.0,e2001d871271320b9f,-55,"174
",,,
04:58.0,e2001d871271320b9f,-55,"174
",,,
04:58.0,e2001d8712171320c120,-55,"168
",,,
04:58.7,e2001d8712461320db93,-50,"171
",,,
04:58.7,e2001d8712461320db93,-50,"171
",,,
04:58.1,e2001d8712171320c120,-55,"174
",,,
04:58.3,e2001d871271320b9f,-52,"174
",,,
04:58.4,e2001d8712171320c120,-53,"171
",,,
04:58.4,e2001d8712401320d4a0,-52,"168
",,,
04:58.5,e2001d8712171320c120,-52,"174
",,,
04:58.5,e2001d871271320b9f,-52,"174
",,,
04:58.5,e2001d8712461320db93,-50,"171
",,,
04:58.5,e2001d8712461320db93,-50,"171
",,,
04:58.6,e2001d8712171320c120,-53,"171
",,,
04:58.6,e2001d8712171320c120,-53,"171
",,,
04:58.6,e2001d8712461320db93,-50,"171
",,,
04:58.6,e2001d8712461320db93,-50,"171
",,,
05:00.2,e2001d8712401320d4a0,-57,"177
",,,
05:00.3,e2001d871271320b9f,-53,"174
",,,
05:00.4,e2001d8712171320c120,-53,"171
",,,
05:00.4,e2001d8712171320c120,-53,"171
",,,
05:00.4,e2001d8712401320d4a0,-53,"171
",,,
05:00.4,e2001d8712401320d4a0,-53,"171
",,,
05:00.5,e2001d871271320b9f,-53,"171
",,,
