,run,activity,time,id,RSSI,phase
44,3,3,16 46 7 40178,3,-57,168
45,3,3,16 46 7 40194,1,-55,171
46,3,3,16 46 7 40260,1,-55,174
47,3,3,16 46 7 40278,1,-53,171
49,3,3,16 46 7 40311,1,-53,174
51,3,3,16 46 7 40362,1,-55,171
52,3,3,16 46 7 40395,1,-55,168
53,3,3,16 46 7 40427,1,-55,168
54,3,3,16 46 7 40443,1,-55,174
55,3,3,16 46 7 40478,1,-55,171
57,3,3,16 46 7 40510,1,-57,174
60,3,3,16 46 7 40578,1,-57,171
63,3,3,16 46 8 40628,1,-58,174
0,3,4,16 46 12 44795,1,-58,174
1,3,4,16 46 12 44860,1,-58,171
14,3,4,16 46 12 45078,1,-57,168
16,3,4,16 46 12 45111,1,-55,174
18,3,4,16 46 12 45144,1,-55,174
20,3,4,16 46 12 45177,1,-55,171
22,3,4,16 46 12 45210,1,-55,174
24,3,4,16 46 12 45244,1,-55,171
26,3,4,16 46 12 45278,1,-55,168
28,3,4,16 46 12 45310,1,-53,171
30,3,4,16 46 12 45345,1,-55,174
31,3,4,16 46 12 45378,1,-55,171
32,3,4,16 46 12 45411,1,-53,171
33,3,4,16 46 12 45445,1,-55,171
34,3,4,16 46 12 45460,1,-53,168
36,3,4,16 46 12 45495,1,-52,174
38,3,4,16 46 12 45527,1,-52,174
40,3,4,16 46 12 45562,1,-53,174
42,3,4,16 46 12 45595,1,-52,168
44,3,4,16 46 13 45628,1,-52,171
46,3,4,16 46 13 45678,1,-52,168
47,3,4,16 46 13 45695,1,-53,171
51,3,4,16 46 13 45760,1,-53,168
52,3,4,16 46 13 45778,3,-56,174
53,3,4,16 46 13 45811,1,-53,171
54,3,4,16 46 13 45828,3,-55,168
55,3,4,16 46 13 45845,3,-55,171
56,3,4,16 46 13 45861,1,-52,174
57,3,4,16 46 13 45878,1,-53,174
58,3,4,16 46 13 45895,3,-55,171
60,3,4,16 46 13 45928,1,-52,174
61,3,4,16 46 13 45944,3,-53,171
62,3,4,16 46 13 45961,1,-52,168
63,3,4,16 46 13 45978,3,-53,171
65,3,4,16 46 13 46010,3,-53,174
66,3,4,16 46 13 46029,1,-52,174
67,3,4,16 46 13 46044,1,-52,174
68,3,4,16 46 13 46061,3,-53,168
71,3,4,16 46 13 46111,3,-52,177
72,3,4,16 46 13 46129,1,-52,174
73,3,4,16 46 13 46160,1,-51,174
75,3,4,16 46 13 46195,3,-55,174
76,3,4,16 46 13 46210,1,-51,171
77,3,4,16 46 13 46228,1,-52,168
78,3,4,16 46 13 46244,3,-55,168
79,3,4,16 46 13 46261,3,-53,171
80,3,4,16 46 13 46277,1,-52,174
81,3,4,16 46 13 46295,3,-55,171
82,3,4,16 46 13 46311,1,-52,174
83,3,4,16 46 13 46328,3,-53,174
84,3,4,16 46 13 46377,1,-53,174
85,3,4,16 46 13 46394,3,-53,171
86,3,4,16 46 13 46411,1,-53,174
87,3,4,16 46 13 46428,3,-53,174
88,3,4,16 46 13 46445,1,-52,174
89,3,4,16 46 13 46460,3,-53,174
90,3,4,16 46 13 46477,3,-55,174
91,3,4,16 46 13 46494,1,-53,168
94,3,4,16 46 13 46544,1,-53,174
95,3,4,16 46 13 46561,3,-53,171
96,3,4,16 46 13 46578,1,-53,168
97,3,4,16 46 13 46595,3,-53,171
98,3,4,16 46 14 46629,3,-53,174
99,3,4,16 46 14 46644,1,-52,171
100,3,4,16 46 14 46661,1,-53,174
101,3,4,16 46 14 46678,3,-52,165
102,3,4,16 46 14 46710,1,-53,171
103,3,4,16 46 14 46728,3,-53,171
104,3,4,16 46 14 46745,3,-52,174
105,3,4,16 46 14 46761,1,-55,174
106,3,4,16 46 14 46794,3,-52,174
108,3,4,16 46 14 46828,3,-53,174
109,3,4,16 46 14 46860,1,-55,171
111,3,4,16 46 14 46894,1,-55,174
112,3,4,16 46 14 46911,3,-52,174
113,3,4,16 46 14 46928,3,-52,171
114,3,4,16 46 14 46945,1,-53,171
115,3,4,16 46 14 46961,3,-52,174
116,3,4,16 46 14 46978,1,-55,174
118,3,4,16 46 14 47011,1,-55,168
119,3,4,16 46 14 47028,3,-52,171
120,3,4,16 46 14 47045,3,-53,168
121,3,4,16 46 14 47078,1,-55,174
122,3,4,16 46 14 47094,1,-55,174
124,3,4,16 46 14 47127,3,-53,168
125,3,4,16 46 14 47144,3,-52,168
126,3,4,16 46 14 47162,1,-55,168
128,3,4,16 46 14 47194,1,-55,174
129,3,4,16 46 14 47212,3,-52,174
130,3,4,16 46 14 47227,1,-55,174
0,3,5,16 46 16 49179,1,-53,168
1,3,5,16 46 16 49195,1,-53,174
2,3,5,16 46 16 49212,3,-55,174
4,3,5,16 46 16 49262,3,-55,174
5,3,5,16 46 16 49277,1,-53,171
6,3,5,16 46 16 49295,3,-56,174
7,3,5,16 46 16 49310,1,-52,174
8,3,5,16 46 16 49327,1,-52,171
9,3,5,16 46 16 49345,3,-56,171
10,3,5,16 46 16 49378,3,-56,171
11,3,5,16 46 16 49394,1,-52,174
12,3,5,16 46 16 49411,1,-52,171
13,3,5,16 46 16 49428,3,-58,171
14,3,5,16 46 16 49445,1,-52,174
16,3,5,16 46 16 49478,1,-52,174
18,3,5,16 46 16 49511,1,-52,171
20,3,5,16 46 16 49545,1,-52,171
21,3,5,16 46 16 49562,1,-52,174
23,3,5,16 46 16 49612,1,-52,174
24,3,5,16 46 17 49628,1,-52,171
26,3,5,16 46 17 49660,1,-52,174
29,3,5,16 46 17 49710,1,-53,171
31,3,5,16 46 17 49745,1,-53,174
33,3,5,16 46 17 49778,1,-53,174
35,3,5,16 46 17 49810,1,-53,174
37,3,5,16 46 17 49844,1,-53,171
39,3,5,16 46 17 49878,1,-55,174
41,3,5,16 46 17 49911,1,-55,174
43,3,5,16 46 17 49945,1,-55,168
45,3,5,16 46 17 49978,1,-55,174
47,3,5,16 46 17 50011,1,-55,174
49,3,5,16 46 17 50045,1,-55,171
51,3,5,16 46 17 50079,1,-55,171
52,3,5,16 46 17 50095,1,-55,171
53,3,5,16 46 17 50112,1,-55,174
55,3,5,16 46 17 50144,1,-55,171
57,3,5,16 46 17 50178,1,-55,171
59,3,5,16 46 17 50210,1,-55,171
61,3,5,16 46 17 50244,1,-55,174
63,3,5,16 46 17 50279,1,-55,174
65,3,5,16 46 17 50312,1,-55,174
66,3,5,16 46 17 50344,1,-55,0
67,3,5,16 46 17 50361,1,-55,174
69,3,5,16 46 17 50395,1,-55,168
71,3,5,16 46 17 50428,1,-55,174
73,3,5,16 46 17 50461,1,-55,168
75,3,5,16 46 17 50494,1,-55,0
77,3,5,16 46 17 50529,1,-55,174
79,3,5,16 46 17 50561,1,-55,171
81,3,5,16 46 17 50594,1,-57,171
83,3,5,16 46 18 50628,1,-56,174
86,3,5,16 46 18 50677,1,-56,174
87,3,5,16 46 18 50711,3,-57,177
90,3,5,16 46 18 50762,3,-57,174
92,3,5,16 46 18 50794,3,-57,174
96,3,5,16 46 18 50861,3,-58,171
98,3,5,16 46 18 50895,3,-58,174
100,3,5,16 46 18 50928,3,-57,168
104,3,5,16 46 18 50994,3,-58,168
107,3,5,16 46 18 51045,3,-57,171
109,3,5,16 46 18 51079,3,-57,174
113,3,5,16 46 18 51145,3,-57,171
114,3,5,16 46 18 51162,3,-57,168
116,3,5,16 46 18 51196,3,-58,174
118,3,5,16 46 18 51229,3,-58,174
0,3,6,16 46 20 52944,3,-57,174
2,3,6,16 46 20 52995,3,-58,168
4,3,6,16 46 20 53045,3,-57,174
5,3,6,16 46 20 53062,3,-56,171
8,3,6,16 46 20 53111,3,-57,171
11,3,6,16 46 20 53161,3,-56,171
13,3,6,16 46 20 53195,3,-57,171
15,3,6,16 46 20 53228,3,-56,174
17,3,6,16 46 20 53262,3,-55,174
18,3,6,16 46 20 53312,3,-56,171
20,3,6,16 46 20 53345,3,-56,174
22,3,6,16 46 20 53378,3,-56,174
24,3,6,16 46 20 53412,1,-58,171
26,3,6,16 46 20 53444,3,-57,171
27,3,6,16 46 20 53479,1,-58,171
28,3,6,16 46 20 53495,3,-57,174
29,3,6,16 46 20 53529,1,-59,171
31,3,6,16 46 20 53561,3,-57,177
32,3,6,16 46 20 53577,1,-57,171
33,3,6,16 46 20 53594,3,-57,171
34,3,6,16 46 20 53612,1,-58,171
36,3,6,16 46 21 53644,1,-58,171
37,3,6,16 46 21 53679,3,-57,174
38,3,6,16 46 21 53695,1,-57,171
39,3,6,16 46 21 53710,3,-57,168
40,3,6,16 46 21 53729,1,-57,171
41,3,6,16 46 21 53745,3,-58,168
44,3,6,16 46 21 53795,1,-56,168
45,3,6,16 46 21 53810,3,-56,168
46,3,6,16 46 21 53829,1,-57,174
48,3,6,16 46 21 53877,1,-55,174
49,3,6,16 46 21 53912,1,-55,171
51,3,6,16 46 21 53945,1,-55,171
53,3,6,16 46 21 53977,1,-55,171
55,3,6,16 46 21 54012,1,-53,171
57,3,6,16 46 21 54061,1,-52,174
58,3,6,16 46 21 54095,1,-52,171
61,3,6,16 46 21 54145,1,-52,174
64,3,6,16 46 21 54195,1,-52,171
65,3,6,16 46 21 54212,2,-58,174
67,3,6,16 46 21 54244,1,-52,174
71,3,6,16 46 21 54312,1,-52,171
72,3,6,16 46 21 54345,1,-52,171
73,3,6,16 46 21 54361,1,-52,174
74,3,6,16 46 21 54377,1,-52,168
75,3,6,16 46 21 54411,1,-52,174
76,3,6,16 46 21 54445,1,-52,174
77,3,6,16 46 21 54477,1,-52,174
79,3,6,16 46 21 54510,1,-52,174
80,3,6,16 46 21 54544,1,-52,174
82,3,6,16 46 21 54578,1,-52,171
83,3,6,16 46 21 54611,1,-52,174
84,3,6,16 46 22 54644,1,-52,171
86,3,6,16 46 22 54679,1,-52,174
87,3,6,16 46 22 54694,1,-52,171
90,3,6,16 46 22 54744,1,-52,174
91,3,6,16 46 22 54762,2,-58,171
93,3,6,16 46 22 54795,1,-51,174
96,3,6,16 46 22 54845,2,-58,171
97,3,6,16 46 22 54878,1,-52,171
100,3,6,16 46 22 54927,2,-58,171
102,3,6,16 46 22 54961,1,-51,168
104,3,6,16 46 22 55012,1,-51,171
107,3,6,16 46 22 55062,1,-53,168
109,3,6,16 46 22 55095,1,-53,174
111,3,6,16 46 22 55128,1,-52,171
113,3,6,16 46 22 55162,1,-53,171
115,3,6,16 46 22 55195,1,-53,171
117,3,6,16 46 22 55229,1,-52,171
119,3,6,16 46 22 55262,1,-53,171
121,3,6,16 46 22 55294,1,-52,174
122,3,6,16 46 22 55328,1,-52,171
0,3,7,16 46 25 57796,1,-51,174
2,3,7,16 46 25 57828,1,-52,174
4,3,7,16 46 25 57862,1,-51,171
6,3,7,16 46 25 57896,1,-52,171
8,3,7,16 46 25 57927,1,-52,171
10,3,7,16 46 25 57961,1,-52,171
12,3,7,16 46 25 57995,1,-52,174
14,3,7,16 46 25 58028,1,-53,174
15,3,7,16 46 25 58045,1,-52,171
16,3,7,16 46 25 58077,1,-55,174
17,3,7,16 46 25 58095,3,-58,174
19,3,7,16 46 25 58129,3,-58,174
20,3,7,16 46 25 58144,1,-55,174
22,3,7,16 46 25 58177,3,-57,171
23,3,7,16 46 25 58195,1,-56,174
26,3,7,16 46 25 58246,3,-57,171
27,3,7,16 46 25 58262,1,-55,174
28,3,7,16 46 25 58278,3,-55,168
29,3,7,16 46 25 58312,3,-55,174
30,3,7,16 46 25 58328,3,-55,177
31,3,7,16 46 25 58345,3,-55,174
33,3,7,16 46 25 58378,3,-55,168
35,3,7,16 46 25 58412,3,-55,168
37,3,7,16 46 25 58446,3,-56,174
40,3,7,16 46 25 58495,3,-56,168
44,3,7,16 46 25 58561,3,-57,174
48,3,7,16 46 26 58628,3,-57,171
50,3,7,16 46 26 58662,2,-57,174
52,3,7,16 46 26 58695,1,-57,171
53,3,7,16 46 26 58712,2,-57,171
56,3,7,16 46 26 58778,2,-57,174
57,3,7,16 46 26 58795,1,-55,171
58,3,7,16 46 26 58812,1,-55,174
60,3,7,16 46 26 58845,1,-55,171
62,3,7,16 46 26 58879,1,-55,174
64,3,7,16 46 26 58928,1,-55,174
65,3,7,16 46 26 58945,1,-53,177
67,3,7,16 46 26 58979,1,-53,174
69,3,7,16 46 26 59011,1,-52,174
70,3,7,16 46 26 59028,1,-55,171
72,3,7,16 46 26 59062,1,-55,168
74,3,7,16 46 26 59095,1,-55,174
75,3,7,16 46 26 59112,3,-57,171
77,3,7,16 46 26 59162,3,-57,174
78,3,7,16 46 26 59179,1,-55,171
79,3,7,16 46 26 59195,1,-56,171
80,3,7,16 46 26 59212,3,-56,171
82,3,7,16 46 26 59244,3,-55,171
83,3,7,16 46 26 59262,1,-55,174
84,3,7,16 46 26 59312,3,-55,171
85,3,7,16 46 26 59327,1,-55,174
86,3,7,16 46 26 59345,1,-55,174
87,3,7,16 46 26 59362,3,-53,171
88,3,7,16 46 26 59378,3,-53,171
89,3,7,16 46 26 59394,1,-55,174
90,3,7,16 46 26 59412,3,-52,174
91,3,7,16 46 26 59428,1,-57,174
92,3,7,16 46 26 59445,3,-52,168
93,3,7,16 46 26 59476,1,-57,171
95,3,7,16 46 26 59513,3,-52,168
96,3,7,16 46 26 59529,1,-57,168
98,3,7,16 46 26 59563,3,-52,174
102,3,7,16 46 27 59629,3,-51,171
104,3,7,16 46 27 59662,1,-56,171
105,3,7,16 46 27 59678,3,-52,171
106,3,7,16 46 27 59695,3,-52,174
107,3,7,16 46 27 59712,1,-56,171
109,3,7,16 46 27 59745,3,-52,174
110,3,7,16 46 27 59760,1,-55,174
111,3,7,16 46 27 59779,3,-52,171
112,3,7,16 46 27 59795,1,-57,171
115,3,7,16 46 27 59845,3,-52,174
116,3,7,16 46 27 59862,1,-55,171
117,3,7,16 46 27 59878,3,-51,174
118,3,7,16 46 27 59895,1,-55,165
119,3,7,16 46 27 59912,3,-52,171
120,3,7,16 46 27 59927,1,-56,168
122,3,7,16 46 27 59962,3,-52,171
123,3,7,16 46 27 59978,1,-57,171
127,3,7,16 46 27 60045,1,-56,171
128,3,7,16 46 27 60063,1,-56,174
129,3,7,16 46 27 60095,1,-56,171
130,3,7,16 46 27 60112,1,-57,0
131,3,7,16 46 27 60128,3,-51,174
132,3,7,16 46 27 60145,3,-51,174
133,3,7,16 46 27 60162,1,-57,168
136,3,7,16 46 27 60212,1,-57,171
137,3,7,16 46 27 60228,3,-51,177
138,3,7,16 46 27 60245,1,-57,171
139,3,7,16 46 27 60261,3,-51,174
140,3,7,16 46 27 60295,1,-57,168
0,3,8,16 46 31 63779,3,-57,168
1,3,8,16 46 31 63796,1,-53,177
2,3,8,16 46 31 63812,3,-57,171
3,3,8,16 46 31 63829,1,-53,171
4,3,8,16 46 31 63846,1,-53,174
7,3,8,16 46 31 63894,3,-57,168
8,3,8,16 46 31 63912,1,-52,177
10,3,8,16 46 31 63944,1,-52,174
12,3,8,16 46 31 63996,1,-52,171
13,3,8,16 46 31 64012,3,-57,171
14,3,8,16 46 31 64029,1,-52,171
16,3,8,16 46 31 64063,1,-52,174
19,3,8,16 46 31 64129,1,-52,174
21,3,8,16 46 31 64163,1,-52,168
23,3,8,16 46 31 64196,1,-52,171
24,3,8,16 46 31 64246,1,-56,171
25,3,8,16 46 31 64263,3,-57,174
30,3,8,16 46 31 64345,1,-57,168
31,3,8,16 46 31 64363,3,-57,171
32,3,8,16 46 31 64379,1,-55,174
33,3,8,16 46 31 64396,2,-57,171
35,3,8,16 46 31 64429,1,-56,174
36,3,8,16 46 31 64445,2,-55,174
37,3,8,16 46 31 64463,2,-55,174
38,3,8,16 46 31 64479,1,-56,171
40,3,8,16 46 31 64512,1,-57,171
41,3,8,16 46 31 64529,2,-55,171
42,3,8,16 46 31 64563,2,-55,171
43,3,8,16 46 31 64579,1,-57,171
44,3,8,16 46 31 64594,2,-55,168
46,3,8,16 46 32 64629,1,-55,174
47,3,8,16 46 32 64646,2,-53,171
48,3,8,16 46 32 64663,2,-56,171
49,3,8,16 46 32 64679,1,-56,171
50,3,8,16 46 32 64696,2,-57,177
51,3,8,16 46 32 64712,1,-57,177
53,3,8,16 46 32 64746,1,-57,174
56,3,8,16 46 32 64796,1,-55,171
58,3,8,16 46 32 64829,1,-55,171
61,3,8,16 46 32 64879,1,-55,174
63,3,8,16 46 32 64912,1,-53,174
67,3,8,16 46 32 64979,2,-58,174
68,3,8,16 46 32 64995,1,-55,171
70,3,8,16 46 32 65029,1,-55,174
72,3,8,16 46 32 65062,1,-55,171
74,3,8,16 46 32 65094,1,-55,174
76,3,8,16 46 32 65129,1,-55,171
78,3,8,16 46 32 65162,2,-59,163
80,3,8,16 46 32 65195,2,-58,171
81,3,8,16 46 32 65212,1,-55,171
82,3,8,16 46 32 65228,1,-55,174
83,3,8,16 46 32 65262,1,-55,174
87,3,8,16 46 32 65329,1,-55,174
90,3,8,16 46 32 65379,1,-55,171
93,3,8,16 46 32 65428,1,-55,174
96,3,8,16 46 32 65479,1,-56,171
101,3,8,16 46 32 65563,2,-59,171
102,3,8,16 46 32 65579,1,-55,171
105,3,8,16 46 33 65629,2,-55,174
106,3,8,16 46 33 65645,1,-55,168
107,3,8,16 46 33 65662,1,-55,171
108,3,8,16 46 33 65679,2,-55,168
110,3,8,16 46 33 65712,1,-55,174
111,3,8,16 46 33 65729,2,-55,171
112,3,8,16 46 33 65745,1,-55,171
113,3,8,16 46 33 65762,2,-55,174
114,3,8,16 46 33 65779,1,-55,165
115,3,8,16 46 33 65795,2,-55,174
116,3,8,16 46 33 65811,1,-55,171
117,3,8,16 46 33 65829,2,-55,171
119,3,8,16 46 33 65862,2,-55,174
120,3,8,16 46 33 65879,1,-55,174
122,3,8,16 46 33 65912,1,-55,174
123,3,8,16 46 33 65929,2,-57,168
126,3,8,16 46 33 65979,2,-55,171
127,3,8,16 46 33 65996,1,-55,168
128,3,8,16 46 33 66012,1,-53,174
129,3,8,16 46 33 66029,2,-57,174
130,3,8,16 46 33 66045,1,-55,174
0,3,9,16 46 39 72012,2,-55,171
2,3,9,16 46 39 72046,2,-55,171
4,3,9,16 46 39 72079,2,-55,171
8,3,9,16 46 39 72146,3,-57,171
9,3,9,16 46 39 72163,2,-55,168
10,3,9,16 46 39 72195,3,-57,0
11,3,9,16 46 39 72213,2,-57,174
12,3,9,16 46 39 72230,1,-55,174
15,3,9,16 46 39 72279,3,-57,171
16,3,9,16 46 39 72296,1,-53,174
17,3,9,16 46 39 72312,2,-58,174
18,3,9,16 46 39 72346,1,-55,171
19,3,9,16 46 39 72362,3,-57,168
20,3,9,16 46 39 72395,3,-57,174
21,3,9,16 46 39 72413,1,-53,174
22,3,9,16 46 39 72429,3,-57,171
23,3,9,16 46 39 72446,1,-52,171
24,3,9,16 46 39 72463,1,-52,171
26,3,9,16 46 39 72496,3,-57,174
28,3,9,16 46 39 72529,1,-52,174
30,3,9,16 46 39 72563,3,-57,174
31,3,9,16 46 39 72580,1,-51,168
32,3,9,16 46 39 72596,3,-57,174
33,3,9,16 46 39 72613,1,-51,171
35,3,9,16 46 40 72663,3,-58,174
36,3,9,16 46 40 72678,1,-51,171
39,3,9,16 46 40 72729,2,-57,165
40,3,9,16 46 40 72746,2,-57,174
