, ,RSSI,Unnamed: 0,activity,id,phase,run,time
490,,-52,538,7,1,174,3,16 46 31 64129
491,,-52,539,7,1,168,3,16 46 31 64163
492,,-52,540,7,1,171,3,16 46 31 64196
493,,-56,541,7,1,171,3,16 46 31 64246
494,,-57,542,7,3,174,3,16 46 31 64263
495,,-57,543,7,1,168,3,16 46 31 64345
496,,-57,544,7,3,171,3,16 46 31 64363
497,,-55,545,7,1,174,3,16 46 31 64379
498,,-57,546,7,2,171,3,16 46 31 64396
499,,-56,547,7,1,174,3,16 46 31 64429
500,,-55,548,7,2,174,3,16 46 31 64445
501,,-55,549,7,2,174,3,16 46 31 64463
502,,-56,550,7,1,171,3,16 46 31 64479
503,,-57,551,7,1,171,3,16 46 31 64512
504,,-55,552,7,2,171,3,16 46 31 64529
505,,-55,553,7,2,171,3,16 46 31 64563
506,,-57,554,7,1,171,3,16 46 31 64579
507,,-55,555,7,2,168,3,16 46 31 64594
508,,-55,556,7,1,174,3,16 46 32 64629
509,,-53,557,7,2,171,3,16 46 32 64646
510,,-56,558,7,2,171,3,16 46 32 64663
511,,-56,559,7,1,171,3,16 46 32 64679
512,,-57,560,7,2,177,3,16 46 32 64696
513,,-57,561,7,1,177,3,16 46 32 64712
514,,-57,562,7,1,174,3,16 46 32 64746
515,,-55,563,7,1,171,3,16 46 32 64796
516,,-55,564,7,1,171,3,16 46 32 64829
517,,-55,565,7,1,174,3,16 46 32 64879
518,,-53,566,7,1,174,3,16 46 32 64912
519,,-58,567,7,2,174,3,16 46 32 64979
520,,-55,568,7,1,171,3,16 46 32 64995
521,,-55,569,7,1,174,3,16 46 32 65029
522,,-55,570,7,1,171,3,16 46 32 65062
523,,-55,571,7,1,174,3,16 46 32 65094
524,,-55,572,7,1,171,3,16 46 32 65129
525,,-59,573,7,2,163,3,16 46 32 65162
526,,-58,574,7,2,171,3,16 46 32 65195
527,,-55,575,7,1,171,3,16 46 32 65212
528,,-55,576,7,1,174,3,16 46 32 65228
529,,-55,577,7,1,174,3,16 46 32 65262
530,,-55,578,7,1,174,3,16 46 32 65329
531,,-55,579,7,1,171,3,16 46 32 65379
532,,-55,580,7,1,174,3,16 46 32 65428
533,,-56,581,7,1,171,3,16 46 32 65479
534,,-59,582,7,2,171,3,16 46 32 65563
535,,-55,583,7,1,171,3,16 46 32 65579
536,,-55,584,7,2,174,3,16 46 33 65629
537,,-55,585,7,1,168,3,16 46 33 65645
538,,-55,586,7,1,171,3,16 46 33 65662
539,,-55,587,7,2,168,3,16 46 33 65679
540,,-55,588,7,1,174,3,16 46 33 65712
541,,-55,589,7,2,171,3,16 46 33 65729
542,,-55,590,7,1,171,3,16 46 33 65745
543,,-55,591,7,2,174,3,16 46 33 65762
544,,-55,592,7,1,165,3,16 46 33 65779
545,,-55,593,7,2,174,3,16 46 33 65795
546,,-55,594,7,1,171,3,16 46 33 65811
547,,-55,595,7,2,171,3,16 46 33 65829
548,,-55,596,7,2,174,3,16 46 33 65862
549,,-55,597,7,1,174,3,16 46 33 65879
550,,-55,598,7,1,174,3,16 46 33 65912
551,,-57,599,7,2,168,3,16 46 33 65929
552,,-55,600,7,2,171,3,16 46 33 65979
553,,-55,601,7,1,168,3,16 46 33 65996
554,,-53,602,7,1,174,3,16 46 33 66012
555,,-57,603,7,2,174,3,16 46 33 66029
556,,-55,604,7,1,174,3,16 46 33 66045
829,,-47,877,10,1,174,3,16 46 53 86097
830,,-47,878,10,1,171,3,16 46 53 86130
831,,-52,879,10,3,171,3,16 46 53 86146
832,,-55,880,10,2,174,3,16 46 53 86163
833,,-53,881,10,3,168,3,16 46 53 86179
834,,-47,882,10,1,171,3,16 46 53 86195
835,,-55,883,10,2,171,3,16 46 53 86213
836,,-46,884,10,1,171,3,16 46 53 86230
837,,-53,885,10,3,168,3,16 46 53 86245
