, ,run,activity,time,id,RSSI,phase
313,,3,5,16 46 16 49511,1,-52,171
314,,3,5,16 46 16 49545,1,-52,171
315,,3,5,16 46 16 49562,1,-52,174
316,,3,5,16 46 16 49612,1,-52,174
317,,3,5,16 46 17 49628,1,-52,171
318,,3,5,16 46 17 49660,1,-52,174
319,,3,5,16 46 17 49710,1,-53,171
320,,3,5,16 46 17 49745,1,-53,174
321,,3,5,16 46 17 49778,1,-53,174
322,,3,5,16 46 17 49810,1,-53,174
323,,3,5,16 46 17 49844,1,-53,171
324,,3,5,16 46 17 49878,1,-55,174
325,,3,5,16 46 17 49911,1,-55,174
326,,3,5,16 46 17 49945,1,-55,168
327,,3,5,16 46 17 49978,1,-55,174
328,,3,5,16 46 17 50011,1,-55,174
329,,3,5,16 46 17 50045,1,-55,171
330,,3,5,16 46 17 50079,1,-55,171
331,,3,5,16 46 17 50095,1,-55,171
332,,3,5,16 46 17 50112,1,-55,174
333,,3,5,16 46 17 50144,1,-55,171
334,,3,5,16 46 17 50178,1,-55,171
335,,3,5,16 46 17 50210,1,-55,171
336,,3,5,16 46 17 50244,1,-55,174
337,,3,5,16 46 17 50279,1,-55,174
338,,3,5,16 46 17 50312,1,-55,174
339,,3,5,16 46 17 50344,1,-55,0
340,,3,5,16 46 17 50361,1,-55,174
341,,3,5,16 46 17 50395,1,-55,168
342,,3,5,16 46 17 50428,1,-55,174
343,,3,5,16 46 17 50461,1,-55,168
344,,3,5,16 46 17 50494,1,-55,0
345,,3,5,16 46 17 50529,1,-55,174
346,,3,5,16 46 17 50561,1,-55,171
347,,3,5,16 46 17 50594,1,-57,171
348,,3,5,16 46 18 50628,1,-56,174
349,,3,5,16 46 18 50677,1,-56,174
350,,3,5,16 46 18 50711,3,-57,177
351,,3,5,16 46 18 50762,3,-57,174
352,,3,5,16 46 18 50794,3,-57,174
353,,3,5,16 46 18 50861,3,-58,171
354,,3,5,16 46 18 50895,3,-58,174
355,,3,5,16 46 18 50928,3,-57,168
356,,3,5,16 46 18 50994,3,-58,168
357,,3,5,16 46 18 51045,3,-57,171
358,,3,5,16 46 18 51079,3,-57,174
359,,3,5,16 46 18 51145,3,-57,171
360,,3,5,16 46 18 51162,3,-57,168
361,,3,5,16 46 18 51196,3,-58,174
362,,3,5,16 46 18 51229,3,-58,174
363,,3,6,16 46 20 52944,3,-57,174
364,,3,6,16 46 20 52995,3,-58,168
365,,3,6,16 46 20 53045,3,-57,174
366,,3,6,16 46 20 53062,3,-56,171
367,,3,6,16 46 20 53111,3,-57,171
368,,3,6,16 46 20 53161,3,-56,171
369,,3,6,16 46 20 53195,3,-57,171
370,,3,6,16 46 20 53228,3,-56,174
371,,3,6,16 46 20 53262,3,-55,174
372,,3,6,16 46 20 53312,3,-56,171
373,,3,6,16 46 20 53345,3,-56,174
374,,3,6,16 46 20 53378,3,-56,174
375,,3,6,16 46 20 53412,1,-58,171
376,,3,6,16 46 20 53444,3,-57,171
377,,3,6,16 46 20 53479,1,-58,171
378,,3,6,16 46 20 53495,3,-57,174
379,,3,6,16 46 20 53529,1,-59,171
380,,3,6,16 46 20 53561,3,-57,177
381,,3,6,16 46 20 53577,1,-57,171
382,,3,6,16 46 20 53594,3,-57,171
383,,3,6,16 46 20 53612,1,-58,171
384,,3,6,16 46 21 53644,1,-58,171
385,,3,6,16 46 21 53679,3,-57,174
386,,3,6,16 46 21 53695,1,-57,171
