, ,run,activity,time,id,RSSI,phase
1792,,3,2,13 42 10 24554,4,-51,168
1799,,3,2,13 42 10 24720,4,-49,174
1800,,3,2,13 42 10 24738,4,-50,174
1802,,3,2,13 42 10 24787,4,-49,171
1804,,3,2,13 42 10 24837,4,-49,171
1807,,3,2,13 42 10 24886,4,-49,171
1810,,3,2,13 42 10 24937,4,-49,174
1813,,3,2,13 42 10 25021,4,-49,171
1814,,3,2,13 42 10 25054,4,-49,174
1816,,3,2,13 42 10 25104,4,-49,168
1818,,3,2,13 42 10 25137,4,-49,174
1821,,3,2,13 42 10 25203,4,-49,174
1825,,3,2,13 42 10 25304,4,-49,171
1827,,3,2,13 42 11 25353,4,-49,174
1829,,3,2,13 42 11 25386,4,-49,174
1831,,3,2,13 42 11 25436,4,-49,174
1834,,3,2,13 42 11 25503,4,-49,171
1837,,3,2,13 42 11 25571,4,-49,171
1839,,3,2,13 42 11 25620,4,-49,174
1841,,3,2,13 42 11 25653,4,-49,171
1842,,3,2,13 42 11 25671,4,-49,174
1849,,3,2,13 42 11 25837,4,-49,174
1854,,3,2,13 42 11 25969,4,-49,174
1932,,3,4,13 42 16 31070,4,-51,174
1935,,3,4,13 42 16 31154,4,-51,171
1938,,3,4,13 42 16 31238,4,-51,174
1943,,3,4,13 42 17 31387,4,-49,168
1944,,3,4,13 42 17 31403,4,-50,168
1947,,3,4,13 42 17 31454,4,-51,171
1950,,3,4,13 42 17 31521,4,-52,174
1953,,3,4,13 42 17 31588,4,-51,171
1956,,3,4,13 42 17 31670,4,-51,174
1957,,3,4,13 42 17 31704,4,-52,174
1960,,3,4,13 42 17 31753,4,-52,171
1962,,3,4,13 42 17 31788,4,-53,171
1966,,3,4,13 42 17 31870,4,-55,171
1968,,3,4,13 42 17 31920,4,-53,174
1971,,3,4,13 42 17 32004,4,-52,174
1975,,3,4,13 42 17 32087,4,-55,171
1977,,3,4,13 42 17 32120,4,-55,0
1981,,3,4,13 42 17 32204,4,-55,174
1984,,3,4,13 42 17 32271,4,-52,171
1986,,3,4,13 42 17 32338,4,-51,174
1988,,3,4,13 42 18 32371,4,-51,171
1990,,3,4,13 42 18 32404,4,-52,171
1991,,3,4,13 42 18 32438,4,-52,174
1994,,3,4,13 42 18 32488,4,-52,174
1995,,3,4,13 42 18 32521,4,-52,171
1997,,3,4,13 42 18 32554,4,-52,174
2000,,3,4,13 42 18 32604,4,-50,171
2001,,3,4,13 42 18 32621,4,-51,174
2004,,3,4,13 42 18 32671,4,-51,171
2006,,3,4,13 42 18 32720,4,-50,174
2007,,3,4,13 42 18 32737,4,-51,171
2010,,3,4,13 42 18 32787,4,-51,171
2011,,3,4,13 42 18 32804,4,-51,171
2014,,3,4,13 42 18 32870,4,-50,174
2016,,3,4,13 42 18 32904,4,-50,174
2018,,3,4,13 42 18 32938,4,-50,174
2019,,3,4,13 42 18 32954,4,-51,171
2022,,3,4,13 42 18 33004,4,-53,174
2025,,3,4,13 42 18 33086,4,-52,174
2026,,3,4,13 42 18 33103,4,-52,171
2028,,3,4,13 42 18 33137,4,-52,171
2030,,3,4,13 42 18 33204,4,-53,171
2032,,3,4,13 42 18 33254,4,-53,171
2034,,3,4,13 42 18 33287,4,-53,171
2200,,3,7,13 42 29 43630,4,-52,168
2203,,3,7,13 42 29 43679,4,-53,171
2204,,3,7,13 42 29 43729,4,-52,171
2209,,3,7,13 42 29 43830,4,-53,168
2211,,3,7,13 42 29 43879,4,-52,174
2213,,3,7,13 42 29 43913,4,-52,174
2217,,3,7,13 42 29 44013,4,-51,174
2218,,3,7,13 42 29 44046,4,-51,171
2223,,3,7,13 42 29 44179,4,-51,174
2224,,3,7,13 42 29 44262,4,-50,168
2227,,3,7,13 42 29 44312,4,-51,174
2230,,3,7,13 42 30 44395,4,-52,171
2234,,3,7,13 42 30 44512,4,-52,171
2236,,3,7,13 42 30 44563,4,-51,171
2238,,3,7,13 42 30 44596,4,-53,174
2239,,3,7,13 42 30 44612,4,-55,171
2241,,3,7,13 42 30 44646,4,-55,171
2242,,3,7,13 42 30 44679,4,-55,171
2243,,3,7,13 42 30 44712,4,-55,174
2244,,3,7,13 42 30 44746,4,-55,174
2245,,3,7,13 42 30 44780,4,-55,171
2246,,3,7,13 42 30 44813,4,-53,174
2247,,3,7,13 42 30 44845,4,-55,171
2248,,3,7,13 42 30 44879,4,-53,174
2250,,3,7,13 42 30 44929,4,-53,171
2251,,3,7,13 42 30 44946,4,-52,171
2254,,3,7,13 42 30 45013,4,-51,174
2256,,3,7,13 42 30 45046,4,-51,171
2257,,3,7,13 42 30 45063,4,-52,171
2264,,3,7,13 42 30 45263,4,-51,171
2265,,3,7,13 42 30 45297,4,-52,171
2420,,3,10,13 42 46 60447,4,-49,171
2421,,3,10,13 42 46 60513,4,-49,174
2428,,3,10,13 42 46 60680,4,-49,174
2430,,3,10,13 42 46 60729,4,-49,174
2431,,3,10,13 42 46 60763,4,-49,174
2433,,3,10,13 42 46 60813,4,-49,174
2435,,3,10,13 42 46 60863,4,-49,174
2437,,3,10,13 42 46 60896,4,-49,174
2441,,3,10,13 42 46 60964,4,-49,174
2442,,3,10,13 42 46 60980,4,-49,174
2445,,3,10,13 42 46 61047,4,-49,168
2447,,3,10,13 42 46 61131,4,-49,174
2450,,3,10,13 42 46 61230,4,-49,171
2452,,3,10,13 42 46 61280,4,-49,174
2454,,3,10,13 42 46 61313,4,-47,174
2458,,3,10,13 42 47 61462,4,-49,174
2461,,3,10,13 42 47 61546,4,-49,168
2464,,3,10,13 42 47 61613,4,-49,174
2469,,3,10,13 42 47 61730,4,-49,174
2471,,3,10,13 42 47 61780,4,-49,174
2474,,3,10,13 42 47 61897,4,-49,171
2476,,3,10,13 42 47 61964,4,-49,168
2482,,3,10,13 42 47 62131,4,-49,174
2483,,3,10,13 42 47 62164,4,-49,174
2485,,3,10,13 42 47 62196,4,-49,174
2489,,3,10,13 42 47 62281,4,-49,171
2490,,3,10,13 42 47 62330,4,-49,174
2496,,3,10,13 42 48 62464,4,-49,168
2498,,3,10,13 42 48 62497,4,-49,171
2502,,3,10,13 42 48 62563,4,-49,174
2505,,3,10,13 42 48 62663,4,-49,174
2508,,3,10,13 42 48 62730,4,-49,171
2512,,3,10,13 42 48 62813,4,-49,174
2516,,3,10,13 42 48 62897,4,-49,171
2518,,3,10,13 42 48 62964,4,-49,171
2520,,3,10,13 42 48 63113,4,-49,174
2523,,3,10,13 42 48 63164,4,-49,174
2524,,3,10,13 42 48 63181,4,-49,174
2526,,3,10,13 42 48 63230,4,-49,168
2668,,4,2,13 44 18 76505,4,-49,174
2670,,4,2,13 44 18 76573,4,-49,171
2674,,4,2,13 44 18 76655,4,-49,174
2676,,4,2,13 44 18 76689,4,-49,174
2679,,4,2,13 44 18 76756,4,-49,174
2682,,4,2,13 44 18 76822,4,-49,174
2684,,4,2,13 44 18 76890,4,-47,171
2685,,4,2,13 44 18 76905,4,-49,174
2688,,4,2,13 44 18 76972,4,-49,174
2692,,4,2,13 44 18 77072,4,-50,171
2693,,4,2,13 44 18 77105,4,-50,174
2697,,4,2,13 44 18 77172,4,-51,171
2699,,4,2,13 44 18 77206,4,-50,168
2702,,4,2,13 44 18 77289,4,-49,171
2705,,4,2,13 44 18 77356,4,-49,171
2709,,4,2,13 44 18 77438,4,-49,174
2710,,4,2,13 44 18 77490,4,-49,171
2713,,4,2,13 44 19 77573,4,-49,174
2717,,4,2,13 44 19 77639,4,-49,174
2719,,4,2,13 44 19 77672,4,-49,174
2722,,4,2,13 44 19 77739,4,-49,174
2724,,4,2,13 44 19 77773,4,-49,174
2728,,4,2,13 44 19 77856,4,-49,171
2730,,4,2,13 44 19 77889,4,-49,174
2731,,4,2,13 44 19 77905,4,-49,171
2734,,4,2,13 44 19 77972,4,-49,171
2735,,4,2,13 44 19 77989,4,-49,174
2738,,4,2,13 44 19 78039,4,-49,171
2739,,4,2,13 44 19 78056,4,-49,174
2745,,4,2,13 44 19 78206,4,-49,174
2747,,4,2,13 44 19 78256,4,-49,168
2750,,4,2,13 44 19 78356,4,-49,174
2751,,4,2,13 44 19 78389,4,-49,171
2820,,4,4,13 44 24 83490,4,-51,171
2822,,4,4,13 44 25 83539,4,-51,174
