, ,RSSI,Unnamed: 0,activity,id,phase,run,time
710,,-55,758,9,3,174,3,16 46 48 80629
712,,-53,760,9,3,171,3,16 46 48 80679
713,,-55,761,9,3,174,3,16 46 48 80713
715,,-55,763,9,3,171,3,16 46 48 80745
718,,-53,766,9,3,174,3,16 46 48 80796
720,,-53,768,9,3,171,3,16 46 48 80830
722,,-55,770,9,3,174,3,16 46 48 80863
723,,-55,771,9,3,171,3,16 46 48 80913
726,,-57,774,9,3,171,3,16 46 48 80980
728,,-57,776,9,3,177,3,16 46 48 81029
730,,-57,778,9,3,171,3,16 46 48 81080
731,,-57,779,9,3,171,3,16 46 48 81113
733,,-56,781,9,3,171,3,16 46 48 81163
736,,-55,784,9,3,174,3,16 46 48 81213
739,,-55,787,9,3,171,3,16 46 48 81296
742,,-55,790,9,3,171,3,16 46 48 81363
743,,-55,791,9,3,174,3,16 46 48 81379
748,,-55,796,9,3,171,3,16 46 48 81479
750,,-53,798,9,3,168,3,16 46 48 81546
752,,-55,800,9,3,171,3,16 46 48 81595
754,,-55,802,9,3,171,3,16 46 49 81646
757,,-53,805,9,3,174,3,16 46 49 81730
760,,-53,808,9,3,171,3,16 46 49 81797
761,,-53,809,9,3,171,3,16 46 49 81813
762,,-53,810,9,3,174,3,16 46 49 81863
766,,-52,814,9,3,171,3,16 46 49 81995
769,,-53,817,9,3,171,3,16 46 49 82080
773,,-52,821,9,3,174,3,16 46 49 82180
776,,-52,824,9,3,168,3,16 46 49 82230
779,,-53,827,9,3,174,3,16 46 49 82280
782,,-52,830,9,3,174,3,16 46 49 82347
787,,-52,835,9,3,174,3,16 46 49 82463
789,,-52,837,9,3,171,3,16 46 49 82529
793,,-52,841,9,3,171,3,16 46 49 82596
796,,-52,844,9,3,174,3,16 46 50 82646
797,,-52,845,9,3,168,3,16 46 50 82696
800,,-53,848,9,3,171,3,16 46 50 82763
802,,-53,850,9,3,174,3,16 46 50 82812
804,,-53,852,9,3,171,3,16 46 50 82863
808,,-53,856,9,3,174,3,16 46 50 82963
812,,-52,860,9,3,171,3,16 46 50 83063
813,,-53,861,9,3,168,3,16 46 50 83096
815,,-53,863,9,3,2,3,16 46 50 83163
820,,-53,868,9,3,174,3,16 46 50 83263
823,,-55,871,9,3,177,3,16 46 50 83363
825,,-53,873,9,3,174,3,16 46 50 83413
828,,-53,876,9,3,174,3,16 46 50 83479
831,,-52,879,10,3,171,3,16 46 53 86146
833,,-53,881,10,3,168,3,16 46 53 86179
837,,-53,885,10,3,168,3,16 46 53 86245
842,,-53,890,10,3,174,3,16 46 53 86379
844,,-53,892,10,3,174,3,16 46 53 86430
847,,-53,895,10,3,174,3,16 46 53 86496
